mz,ms1score,,,,,,,,,,,,,,,ms1score,ms1score,Bins,,Bin,Frequency,,,
401.0506083,-5.639908379,,,,,,,,,,,,,,,-8.073617791,-8.1,,,,,,,
401.0873922,-4.578073224,,,,,,,,,,,,,,,-8.055311629,-8.1,,,,,,,
401.0873922,-4.578073224,,,,,,,,,,,,,,,-8.034742589,-8,,,,,,,
401.0868632,0,,,,,,,,,,,,,,,-8.034742589,-8,,,,,,,
401.0873922,-4.578073224,,,,,,,,,,,,,,,-8.034742589,-8,,,,,,,
401.1133423,-0.623433917,-1.690100584,,,,,,,,,,,,,,-8.018985424,-8,,,,,,,
401.1133423,-0.75676725,-1.690100584,,,,,,,,,,,,,,-8.018985424,-8,,,,,,,
401.1133423,-0.75676725,-1.690100584,,,,,,,,,,,,,,-8.018985424,-8,,,,,,,
401.1133423,-0.75676725,-1.690100584,,,,,,,,,,,,,,-8.018985424,-8,,,,,,,
401.1133423,-0.75676725,-1.690100584,,,,,,,,,,,,,,-8.018985424,-8,,,,,,,
401.1246541,-3.595219855,-5.903524977,-5.903524977,-6.756842882,-6.756842882,,,,,,,,,,,-8.018985424,-8,,,,,,,
401.1243083,-4.738076998,-4.738076998,-4.738076998,-4.738076998,-8.326995545,,,,,,,,,,,-7.994397021,-8,,,,,,,
401.1334229,0,,,,,,,,,,,,,,,-7.988054763,-8,,,,,,,
401.1334229,0,,,,,,,,,,,,,,,-7.988054763,-8,,,,,,,
401.1334229,0,,,,,,,,,,,,,,,-7.971242711,-8,,,,,,,
401.1538493,-3.8296437,,,,,,,,,,,,,,,-7.962246337,-8,,,,,,,
400.1499023,-0.533022291,-0.533022291,-0.328330775,,,,,,,,,,,,,-7.948661028,-7.9,,,,,,,
401.1607768,0.018574993,0.018574993,0.018574993,0.018574993,,,,,,,,,,,,-7.947272174,-7.9,,,,,,,
401.1605937,0.01898586,0.01898586,0.01898586,0.01898586,,,,,,,,,,,,-7.934472985,-7.9,,,,,,,
401.1731873,-2.292265799,-2.292265799,-2.292265799,,,,,,,,,,,,,-7.91469779,-7.9,,,,,,,
401.1733704,-1.034042358,-1.034042358,-1.034042358,-5.770900753,,,,,,,,,,,,-7.873049428,-7.9,,,,,,,
401.1732686,-3.010370761,-3.010370761,-3.010370761,-6.030377141,,,,,,,,,,,,-7.840091471,-7.8,,,,,,,
401.1731262,-3.555508552,-3.555508552,-3.555508552,,,,,,,,,,,,,-7.835436448,-7.8,,,,,,,
401.190684,-2.037972704,-2.589929683,,,,,,,,,,,,,,-7.820275178,-7.8,,,,,,,
401.190684,-4.037972704,-4.589929683,,,,,,,,,,,,,,-7.790429343,-7.8,,,,,,,
401.1997375,-0.940694887,-2.973781972,,,,,,,,,,,,,,-7.790429343,-7.8,,,,,,,
401.1998088,-0.650498808,-0.712005453,,,,,,,,,,,,,,-7.753899665,-7.8,,,,,,,
401.2123413,0,,,,,,,,,,,,,,,-7.748367578,-7.7,,,,,,,
401.2123413,0,,,,,,,,,,,,,,,-7.73138602,-7.7,,,,,,,
401.2158407,0,,,,,,,,,,,,,,,-7.668310933,-7.7,,,,,,,
401.2179871,-0.003639252,-0.003639252,-0.003639252,-0.003639252,,,,,,,,,,,,-7.656344105,-7.7,,,,,,,
401.223053,-4.166648427,-5.595219855,,,,,,,,,,,,,,-7.639032536,-7.6,,,,,,,
401.223053,-4.166648427,-5.595219855,,,,,,,,,,,,,,-7.639032536,-7.6,,,,,,,
401.2336426,-0.014018499,,,,,,,,,,,,,,,-7.639032536,-7.6,,,,,,,
401.2336426,-1.014018499,,,,,,,,,,,,,,,-7.6379533,-7.6,,,,,,,
401.2486471,-0.474027587,,,,,,,,,,,,,,,-7.6379533,-7.6,,,,,,,
401.2906189,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-7.6379533,-7.6,,,,,,,
401.2909444,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-7.62618418,-7.6,,,,,,,
401.2909444,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-0.008560865,-7.614272507,-7.6,,,,,,,
401.2912699,-1.956927237,-1.956927237,-1.956927237,-1.956927237,-1.956927237,-2.522090896,-2.522090896,-2.522090896,-2.522090896,-2.522090896,-2.522090896,-2.522090896,-2.522090896,-2.522090896,-2.522090896,-7.611595424,-7.6,,,,,,,
401.3066915,0,,,,,,,,,,,,,,,-7.506568278,-7.5,,,,,,,
401.3158976,0,,,,,,,,,,,,,,,-7.494601832,-7.5,,,,,,,
401.3425191,0.018562349,0.018562349,,,,,,,,,,,,,,-7.494601832,-7.5,,,,,,,
401.3423462,-5.22234556,-5.22234556,,,,,,,,,,,,,,-7.468462831,-7.5,,,,,,,
401.3426514,0.474355719,0.474355719,,,,,,,,,,,,,,-7.462838971,-7.5,,,,,,,
401.3424988,0.732358138,0.732358138,,,,,,,,,,,,,,-7.459120859,-7.5,,,,,,,
400.0304565,-0.722232416,-4.86576892,,,,,,,,,,,,,,-7.427738865,-7.4,,,,,,,
400.0304565,-0.722232416,-4.86576892,,,,,,,,,,,,,,-7.377092393,-7.4,,,,,,,
401.0512695,-6.359051557,,,,,,,,,,,,,,,-7.375987845,-7.4,,,,,,,
402.0564982,0,,,,,,,,,,,,,,,-7.345918584,-7.3,,,,,,,
401.0873718,-4.67728054,,,,,,,,,,,,,,,-7.341593264,-7.3,,,,,,,
401.0877075,-0.299051582,,,,,,,,,,,,,,,-7.339340733,-7.3,,,,,,,
401.0873718,-4.67728054,,,,,,,,,,,,,,,-7.339340733,-7.3,,,,,,,
401.1097412,-3.082641,,,,,,,,,,,,,,,-7.339340733,-7.3,,,,,,,
402.1216125,0,,,,,,,,,,,,,,,-7.302827218,-7.3,,,,,,,
402.1213379,0,,,,,,,,,,,,,,,-7.256404863,-7.3,,,,,,,
402.1213379,0,,,,,,,,,,,,,,,-7.256404863,-7.3,,,,,,,
402.1280314,-4.595218435,-6.770867876,-6.770867876,-7.988054763,-7.988054763,,,,,,,,,,,-7.15459008,-7.2,,,,,,,
401.1243286,-4.261886522,-4.261886522,-4.595219855,-4.595219855,-7.994397021,,,,,,,,,,,-7.141991823,-7.1,,,,,,,
401.1608276,0.018574993,0.018574993,0.018574993,0.018574993,,,,,,,,,,,,-7.141991823,-7.1,,,,,,,
401.1608276,0.018574993,0.018574993,0.018574993,0.018574993,,,,,,,,,,,,-7.141991823,-7.1,,,,,,,
402.164093,0.012730411,0.012730411,0.012730411,0.012730411,,,,,,,,,,,,-7.104634873,-7.1,,,,,,,
402.1769816,0.465103965,0.465103965,0.465103965,-5.056061799,,,,,,,,,,,,-7.091593264,-7.1,,,,,,,
401.1732483,-3.222663967,-3.222663967,-3.222663967,-6.049219105,,,,,,,,,,,,-7.073617791,-7.1,,,,,,,
401.1732483,-3.222663967,-3.222663967,-3.222663967,-6.049219105,,,,,,,,,,,,-7.073617791,-7.1,,,,,,,
402.1768494,-0.035310335,-0.035310335,-0.035310335,,,,,,,,,,,,,-7.073617791,-7.1,,,,,,,
402.1812642,-7.948661028,,,,,,,,,,,,,,,-7.073617791,-7.1,,,,,,,
402.1987,-5.622531265,-1.474104755,-4.919454251,,,,,,,,,,,,,-7.073617791,-7.1,,,,,,,
402.1987,-5.622531265,-1.474104755,-4.919454251,,,,,,,,,,,,,-7.073617791,-7.1,,,,,,,
402.1987,-5.622531265,-1.474104755,-4.919454251,,,,,,,,,,,,,-7.073617791,-7.1,,,,,,,
402.2106222,0,,,,,,,,,,,,,,,-7.073617791,-7.1,,,,,,,
402.2229106,-1.474098779,,,,,,,,,,,,,,,-7.073617791,-7.1,,,,,,,
402.2229106,-1.474098779,,,,,,,,,,,,,,,-6.997527849,-7,,,,,,,
402.2267049,-1.211268334,-4.560957147,-9.913548367,,,,,,,,,,,,,-6.997527849,-7,,,,,,,
401.2229614,-2.507265014,-3.821839108,,,,,,,,,,,,,,-6.997527849,-7,,,,,,,
402.2313436,0.348042711,,,,,,,,,,,,,,,-6.989352645,-7,,,,,,,
402.2313436,0.514709378,,,,,,,,,,,,,,,-6.988554748,-7,,,,,,,
401.3426208,0.353143598,0.353143598,,,,,,,,,,,,,,-6.973730891,-7,,,,,,,
401.342865,0.417923867,0.417923867,,,,,,,,,,,,,,-6.959647275,-7,,,,,,,
402.3717346,0,,,,,,,,,,,,,,,-6.957544557,-7,,,,,,,
402.3716532,0,,,,,,,,,,,,,,,-6.957544557,-7,,,,,,,
400.9749146,-0.992025971,-4.643862175,-4.37733978,,,,,,,,,,,,,-6.950030501,-7,,,,,,,
402.9808757,0,,,,,,,,,,,,,,,-6.950030501,-7,,,,,,,
400.9935913,-0.659465955,,,,,,,,,,,,,,,-6.883727369,-6.9,,,,,,,
400.9935913,-0.659465955,,,,,,,,,,,,,,,-6.883727369,-6.9,,,,,,,
403.0432739,0,,,,,,,,,,,,,,,-6.883727369,-6.9,,,,,,,
403.0432739,0,,,,,,,,,,,,,,,-6.883530628,-6.9,,,,,,,
403.0428975,0,,,,,,,,,,,,,,,-6.883530628,-6.9,,,,,,,
403.0428975,0,,,,,,,,,,,,,,,-6.857597812,-6.9,,,,,,,
402.0910645,0,,,,,,,,,,,,,,,-6.81161776,-6.8,,,,,,,
402.0906677,0,,,,,,,,,,,,,,,-6.81161776,-6.8,,,,,,,
402.0910645,0,,,,,,,,,,,,,,,-6.780144172,-6.8,,,,,,,
401.1134033,-1.039990309,-1.687049132,,,,,,,,,,,,,,-6.770867876,-6.8,,,,,,,
401.1134033,-1.039990309,-1.687049132,,,,,,,,,,,,,,-6.770867876,-6.8,,,,,,,
402.1212158,0,,,,,,,,,,,,,,,-6.756842882,-6.8,,,,,,,
402.1212158,0,,,,,,,,,,,,,,,-6.756842882,-6.8,,,,,,,
402.1212158,0,,,,,,,,,,,,,,,-6.738393566,-6.7,,,,,,,
402.1212158,0,,,,,,,,,,,,,,,-6.636160552,-6.6,,,,,,,
402.1212158,0,,,,,,,,,,,,,,,-6.593249352,-6.6,,,,,,,
403.1701558,-1.474073756,-5.536666749,-1.029906439,-1.474073756,-1.49725875,,,,,,,,,,,-6.593249352,-6.6,,,,,,,
403.1701558,-1.474073756,-5.536666749,-1.029906439,-1.474073756,-1.49725875,,,,,,,,,,,-6.593249352,-6.6,,,,,,,
403.1701558,-1.474073756,-5.536666749,-1.029906439,-1.474073756,-1.49725875,,,,,,,,,,,-6.567380884,-6.6,,,,,,,
403.1771851,0,,,,,,,,,,,,,,,-6.541187988,-6.5,,,,,,,
403.1771851,0,,,,,,,,,,,,,,,-6.541187988,-6.5,,,,,,,
403.1771851,0,,,,,,,,,,,,,,,-6.537417179,-6.5,,,,,,,
403.1896261,-1.992624684,,,,,,,,,,,,,,,-6.537417179,-6.5,,,,,,,
403.1896261,-0.992624684,,,,,,,,,,,,,,,-6.510978054,-6.5,,,,,,,
403.2064311,-3.386374769,,,,,,,,,,,,,,,-6.47737589,-6.5,,,,,,,
403.2064311,-3.386374769,,,,,,,,,,,,,,,-6.440540811,-6.4,,,,,,,
403.2064311,-3.386374769,,,,,,,,,,,,,,,-6.40226757,-6.4,,,,,,,
403.2126261,-0.982257202,,,,,,,,,,,,,,,-6.359051557,-6.4,,,,,,,
403.2126668,-1.011238179,,,,,,,,,,,,,,,-6.353383573,-6.4,,,,,,,
403.2126261,1.017742798,,,,,,,,,,,,,,,-6.341739022,-6.3,,,,,,,
403.2126261,1.017742798,,,,,,,,,,,,,,,-6.340287016,-6.3,,,,,,,
403.2281901,-4.413060297,,,,,,,,,,,,,,,-6.340216769,-6.3,,,,,,,
402.2266235,0.019706642,-0.124844274,-8.85921504,,,,,,,,,,,,,-6.328443507,-6.3,,,,,,,
402.2314148,1.014709378,,,,,,,,,,,,,,,-6.328443507,-6.3,,,,,,,
403.2488607,-1.704419606,-4.655486722,-4.655486722,-4.655486722,,,,,,,,,,,,-6.328443507,-6.3,,,,,,,
403.2495728,-1.704419606,-1.214574739,,,,,,,,,,,,,,-6.324314763,-6.3,,,,,,,
403.2488607,-1.704419606,-4.655486722,-4.655486722,-4.655486722,,,,,,,,,,,,-6.324314763,-6.3,,,,,,,
403.2644246,0.018116941,-4.549939741,,,,,,,,,,,,,,-6.324314763,-6.3,,,,,,,
403.2702433,-0.006035834,-0.006035834,-0.006035834,,,,,,,,,,,,,-6.300450887,-6.3,,,,,,,
403.285675,-0.01689648,-0.01689648,-0.01689648,,,,,,,,,,,,,-6.300450887,-6.3,,,,,,,
403.285675,-0.01689648,-0.01689648,-0.01689648,,,,,,,,,,,,,-6.296562605,-6.3,,,,,,,
403.3066203,0.019102922,0.019102922,0.019102922,0.019102922,0.019102922,0.019102922,,,,,,,,,,-6.250541045,-6.3,,,,,,,
403.3218384,1.018776046,,,,,,,,,,,,,,,-6.250541045,-6.3,,,,,,,
403.3218384,0.018776046,,,,,,,,,,,,,,,-6.243020884,-6.2,,,,,,,
403.3218384,0.018776046,,,,,,,,,,,,,,,-6.243020884,-6.2,,,,,,,
403.3315938,0,,,,,,,,,,,,,,,-6.242749471,-6.2,,,,,,,
403.3582357,0,,,,,,,,,,,,,,,-6.190983937,-6.2,,,,,,,
403.3579508,0,,,,,,,,,,,,,,,-6.166528075,-6.2,,,,,,,
403.3750102,0,,,,,,,,,,,,,,,-6.160328971,-6.2,,,,,,,
