"mz","rt","X500_700_Neg_JeansA.mzXML","X500_700_Neg_JeansB.mzXML","X500_700_Neg_JeansC.mzXML","X500_700_Neg_JeansD.mzXML","X500_700_Neg_JeansDx.mzXML","X500_700_Neg_JeansE.mzXML","X500_700_Neg_JeansF.mzXML","X500_700_Neg_JeansG.mzXML","X500_700_Neg_JeansGx.mzXML","SampleID","formula.pred","isoscore","mserror","ms1score","SMILES","DbID","Adducts","neutralscore","ionmodescore","adductscore","MS2score","rtscore","allscore"
560.153564453125,4.80901666666667,100,100,100,100,100,100,181883.8125,178270.421875,190511.75,9,"C24H45CrS6;C24H45CrS6;C29H34ClN3S2;C27H42S6;C27H42S6","-0.200072599136222;-0.200072599136222;-0.55970110967958;-0.563688715413068;-0.563688715413068","0.00995033085316809;0.00995033085316809;0.00995033085316809;-2.28947153315907;-2.28947153315907","-0.190122268283054;-0.190122268283054;-0.549750778826412;-2.85316024857214;-2.85316024857214","[Cr+3].CCCCC(CC)C([S-])=S.CCCCC(CC)C([S-])=S.CCCCC(CC)C([S-])=S;[Cr+3].CCCCCCCC([S-])=S.CCCCCCCC([S-])=S.CCCCCCCC([S-])=S;[Cl-].CC(C)Nc1ccc(NCCC[N+](C)(C)Cc2ccccc2)c3C(=S)c4ccccc4C(=S)c13;CCCCCCSC(=S)c1ccc(C(=S)SCCCCCC)c(c1)C(=S)SCCCCCC;CCCCCCCCCCSC(=S)c1ccc(C(=S)SCCCCCCCC)c(c1)C(S)=S","10117;10351;12226;7474;21168","[M+Cl]-;[M+Cl]-;[M+Cl]-;[M-H]-;[M-H]-","0","-0.5;-0.5;-0.5;-0.5;0","0;0;0;1;1","0",0,"0;0;0;0;-1.85316024857214"
558.294921875,5.77728333333333,100,100,519281.125,32764.486328125,4822.791015625,100,100,5115.0546875,100,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
561.291971842448,5.77728333333333,100,100,209473.921875,15126.0283203125,100,100,3824.9287109375,100,100,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
562.305297851562,6.30611666666667,100,100,118014.4609375,100,100,100,100,4691.61083984375,100,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
563.308044433594,5.07583333333333,70619.890625,90328.3359375,386265.90625,85839.53125,72610.6953125,69137.8671875,77505.9921875,49217.171875,77118.3046875,3,"C28H54S4;C28H54S4S;C28H54S4Sr;C28H54S4","0.00350713821931657;0.00350713821931657;0.00350713821931657;0.00350713821931657","-4.5378304750797;-4.5378304750797;-4.5378304750797;-4.5378304750797","-4.53432333686038;-4.53432333686038;-4.53432333686038;-4.53432333686038","CCCCCCCCCSC(=S)CCCCCCCCC(=S)SCCCCCCCCC;CCCCCCCCCCCC(=S)SCCSCCSC(=S)CCCCCCCCCCC;[Sr++].CCCCCCCCCCCCCC([S-])=S.CCCCCCCCCCCCCC([S-])=S;CCCCC(CC)CSC(=S)CCCCCCCCCCC(=S)SCC(CC)CCCC","7592;10977;11123;14038","[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-","0","0;0;0;0","0;0;0;0","0",0,"-4.53432333686038;-4.53432333686038;-4.53432333686038;-4.53432333686038"
564.311808268229,5.07583333333333,19529.0390625,31195.4765625,114124.59375,30384.919921875,23713.87890625,24440.3359375,26993.5,18981.322265625,46127.39453125,3,"C28H54S4;C28H54S4S;C28H54S4Sr;C28H54S4","-0.0129016877602615;-0.0129016877602615;-0.0129016877602615;-0.0129016877602615","-2.37507975842415;-2.37507975842415;-2.37507975842415;-2.37507975842415","-2.38798144618441;-2.38798144618441;-2.38798144618441;-2.38798144618441","CCCCCCCCCSC(=S)CCCCCCCCC(=S)SCCCCCCCCC;CCCCCCCCCCCC(=S)SCCSCCSC(=S)CCCCCCCCCCC;[Sr++].CCCCCCCCCCCCCC([S-])=S.CCCCCCCCCCCCCC([S-])=S;CCCCC(CC)CSC(=S)CCCCCCCCCCC(=S)SCC(CC)CCCC","7592;10977;11123;14038","[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-","0","0;0;0;0","0;0;0;0","0",0,"-2.38798144618441;-2.38798144618441;-2.38798144618441;-2.38798144618441"
563.307983398438,5.07583333333333,19529.0390625,31195.4765625,114124.59375,30384.919921875,23713.87890625,24440.3359375,26993.5,18981.322265625,46127.39453125,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
567.300374348958,5.45645,36324.9140625,14742.3701171875,221825.109375,38543.640625,10371.3232421875,100,12804.259765625,23199.4921875,10362.42578125,3,"C32H54S4","-0.545117826571345","-4.45875125754081","-6.00386908411216","CCCCCCCCCCCCSC(=S)c1ccccc1C(=S)SCCCCCCCCCCCC","8628","[M-H]-","0","-0.5","1","0",0,"0"
566.906921386719,7.2946,100,100,100,100,100,100,126574.0703125,78864.328125,20349.84375,7,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
566.906921386719,7.2946,100,100,100,100,100,100,126574.0703125,78864.328125,20349.84375,7,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
