"mz","rt","X100_300_Neg_jgu1.mzXML","X100_300_Neg_jgu2.mzXML","X100_300_Neg_jgw1.mzXML","X100_300_Neg_jgw2.mzXML","X100_300_Neg_nju1.mzXML","X100_300_Neg_nju2.mzXML","X100_300_Neg_njw1.mzXML","X100_300_Neg_njw2.mzXML","X100_300_Neg_oju2.mzXML","X100_300_Neg_ojw1.mzXML","SampleID","formula.pred","isoscore","mserror","ms1score","SMILES","DbID","Adducts","neutralscore","chracaterscore","ionmodescore","adductscore","MS2score","allscore","temp.scorevalues"
110.9756699,0.763678333,1432326881.39062,1720149473.39062,105898433.390625,128602369.390625,1170679.390625,366202.765625,132145.265625,475640.015625,2224834.390625,2457224.75,2,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
110.975914,0.763678333,16251031.390625,18934875.390625,751432.390625,996993.640625,100,100,100,100,100,23138.92578,2,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
110.9762039,8.498833333,312594.2188,314497.3438,256125.7344,367026.7188,192948.7188,298149.3438,301835.2188,269844.0313,228761.125,231740.875,4,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
110.992012,10.7876,100,100,100,100,895431,832946,100,100,100,1490612.75,5,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
111.0070419,4.219433333,157237.4375,100,100,239038.5625,241539.9375,172521.5625,485996.6875,244700.3125,330090.0625,1735911.5,10,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
111.0200119,0.798476667,100,100,162535.431665625,116338.525365625,100,100,100,100,115342.353565625,566726.625,10,"C4H3BrN2O;C4H3BrN2O;C6H8ClN","0.00994290312230944;0.00994290312230944;NA","0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0198932339754775;0.0198932339754775;0.0198932339754775","BrC1=CN=CNC1=O;BrC1=CNC(=O)N=C1;[H+].[Cl-].Nc1ccccc1","15842;21941;4182","[M-Br+O]-;[M-Br+O]-;[M-H-H2O]-","0;0;0","0","0;0;0","0.5;0.5;0","0;0;0","0.519893233975477;0.519893233975477;0.0198932339754775",0
111.0563482,0.79887,100,100,100,100,140131.133764063,155953.196264063,100,100,100,7441.899902,6,"C5H8N2O;C5H10N2O2;C5H8N2O","0.00850256932722982;0.00850256932722982;0.00850256932722982","0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0184529001803979;0.0184529001803979;0.0184529001803979","Cc1[nH]cnc1CO;OCCN1CCNC1=O;CN1N=C(C)CC1=O","19318;10839;9376","[M-H]-;[M-H-H2O]-;[M-H]-","0;0;0","0","0;0;-0.5","1;0;1","0;0;0","1.0184529001804;0.0184529001803979;0",0
111.9291763,4.0132,102415.869115625,258288.384815625,100,100,100,100,100,100,100,100,2,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
111.929273,0.934393333,571443.536132812,943863.286132812,515684.473632812,834908.286132812,100,100,100,100,100,100,2,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
111.9750392,0.763678333,12336876.3818359,13904548.3818359,846905.944335938,1066679.50683594,100,100,100,100,100,25081.16602,2,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
111.9860611,3.934366667,6875940.50317383,5726954.00317383,6060946.50317383,7400236.50317383,100,100,100,100,100,100,4,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
112.0404053,0.913948333,100,100,100,100,470134.767578125,503996.267578125,100,100,100,51730.36328,6,"C5H9NO3;C5H9NO3;C5H9NO3;C7H11Cl;C5H9NO3;C5H9NO3;C5H7NO2","0.00959970205146174;0.00959970205146174;0.00959970205146174;0.00959970205146174;0.00959970205146174;NA;0.00959970205146174","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0195500329046298;0.0195500329046298;0.0195500329046298;0.0195500329046298;0.0195500329046298;0.0195500329046298;0.0195500329046298","OC1CNC(C1)C(O)=O;NCC(=O)CCC(O)=O;O[C@@H]1CN[C@@H](C1)C(O)=O;ClC12CCC(CC1)C2;OCNC(=O)OCC=C;COC(=O)CN(C)C=O;CCOC(=O)CC","","","","","","","","",NA
112.937144,0.934393333,2328923.2578125,4018984.7578125,374819.3828125,645692.7578125,100,100,100,100,100,25053.03906,2,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
112.9537659,0.795633333,279391.112792969,297818.987792969,328661.706592969,359168.644092969,100,100,100,100,100,30347.59766,4,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
112.9713745,0.792111667,750128.1796875,1019506.3046875,100,100,100,100,100,100,100,100,2,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
112.9714432,0.763678333,68284432.0546875,85137320.0546875,5130445.0546875,6118443.5546875,100,100,100,100,100,127863.1016,2,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
112.9798304,0.763678333,13182106,15402773,870199.625,1092835.375,100,100,100,100,100,100,2,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
113.024381,0.740908333,100,100,241183.1797375,222324.2422375,100,102394.3984375,100,100,100,290555.7188,3,"C5H6O3;C5H6O3;C5H8O4;C5H8O4;C5H8O4;C5H8O4;C5H8O4;C5H8O4;C5H8O4;C5H8O4;C5H6O3;C5H6O3","0.00850256932722982;0.00850256932722982;0.00850256932722982;0.00850256932722982;0.00850256932722982;0.00850256932722982;0.00850256932722982;0.00850256932722982;0.00850256932722982;0.00850256932722982;0.00850256932722982;0.00850256932722982","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979","CC1=C(O)C(=O)CO1;O=CC1CCC(=O)O1;COC(=O)CC(=O)OC;OC(=O)CCCC(O)=O;COC(=O)CCC(O)=O;CC(CC(O)=O)C(O)=O;CC(=O)OCCOC=O;CC(=O)OCOC(C)=O;OC(=O)CCCC(O)=O;OC(=O)CCCC(O)=O;O=C1CCCC(=O)O1;CC1CC(=O)OC1=O","7566;14375;36149;2872;2970;3868;4828;14533;17405;30260;2870;6135","[M-H]-;[M-H]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H]-;[M-H]-","0;0;0;0;0;0;0;0;0;0;0;0","0","0;0;0;0;0;0;0;0;0;0;-0.5;-0.5","1;1;0;0;0;0;0;0;0;0;1;1","0;0;0;0;0;0;0;0;0;0;0;0","1.0184529001804;1.0184529001804;0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;0;0",0
113.0356191,0.79887,100,100,100,100,236881.787159375,277275.193359375,100,100,100,33905.68359,6,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
114.0196431,0.914483333,100,100,100,100,531724.498046875,496436.810546875,100,100,100,91201.4375,5,"C4H4BrNO2;C6H6;C6H6;C6H6;C6H6;C6H9ClO","0.00955790198516767;-0.53420236588618;-0.53420236588618;-0.53420236588618;-0.53420236588618;-0.53420236588618","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0195082328383358;-0.524252035033011;-0.524252035033011;-0.524252035033011;-0.524252035033011;-0.524252035033011","BrN1C(=O)CCC1=O;c1ccccc1;c1(c(c(c(c(c1[2H])[2H])[2H])[2H])[2H])[2H];C","","","","","","","","",NA
114.0560048,0.769541667,100,100,732640.916992188,602538.791992188,100,100,194147.916992188,100,100,22182.56641,3,"C5H9NO2;C5H9NO2;C5H9NO2;C5H9NO2;C5H9NO2;C5H9NO2;C5H9NO2;C5H9NO2;C5H11NO3;C5H11NO3;C5H11NO3","-4.42243624442667;-4.42243624442667;-4.42243624442667;-4.42243624442667;-4.42243624442667;-4.42243624442667;-4.42243624442667;-4.42243624442667;-4.42243624442667;-4.42243624442667;-4.42243624442667","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","-5.4124859135735;-5.4124859135735;-5.4124859135735;-5.4124859135735;-5.4124859135735;-5.4124859135735;-5.4124859135735;-5.4124859135735;-5.4124859135735;-5.4124859135735;-5.4124859135735","OC(=O)C1CCCN1;OC(=O)C1CCCN1;OC(=O)C1CCCN1;CC(=C)C(=O)NCO;CN(C(C)=O)C(C)=O;O=CN1CCOCC1;CNC(=O)CC(C)=O;CC1(C)COC(=O)N1;CC(C)CCO[N+]([O-])=O;CC(O)C(=O)NCCO;OCCN(CCO)C=O","3007;4450;5714;6449;6710;11227;15946;18116;5040;11913;17358","[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-","0.5;0.5;0.5;0;0;0;0;0;0;0;0","0","0;0;0;0;-0.5;-0.5;-0.5;-0.5;0;0;0","1;1;1;1;1;1;1;1;0;0;0","0;0;0;0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0;0;0;0",0
114.9759852,0.792111667,663247.329101562,722868.141601562,100,100,100,100,100,100,100,100,2,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
115.0207774,0.938273333,100,100,310215.721679688,325603.252979687,100,100,141739.659179688,108969.221679688,100,68433.59375,4,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
115.0295359,3.884316667,1689019.625,1625398.875,1973606.875,1528650.125,100,100,100,100,100,100,3,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
