"mz","rt","X500_700_Pos_jgu1.mzXML","X500_700_Pos_jgu2.mzXML","X500_700_Pos_jgw1.mzXML","X500_700_Pos_jgw2.mzXML","X500_700_Pos_nju1.mzXML","X500_700_Pos_nju2.mzXML","X500_700_Pos_njw1.mzXML","X500_700_Pos_njw2.mzXML","X500_700_Pos_oju2.mzXML","X500_700_Pos_ojw1.mzXML","formula.pred","SMILES","allscore"
"614.0822144","11.45715","776287.4453125","605349.5703125","719893.4453125","398569.9141125","100","100","100","100","100","33214.05469","C25H36Cl6O4","CC(C)CCCCCOC(=O)C1C(C(=O)OCCCCCC(C)C)C2(Cl)C(=C(Cl)C1(Cl)C2(Cl)Cl)Cl","0"
"614.0822144","11.45715","776287.4453125","605349.5703125","719893.4453125","398569.9141125","100","100","100","100","100","33214.05469","C22H27Cl3N6O6S","CC1=NN(C(=N)/C1=N/Nc2cc(Cl)c(cc2Cl)[S](O)(=O)=O)c3ccc(Cl)cc3.OCCN(CCO)CCO","0"
"615.1671346","5.008833333","100","100","100","100","200322.490259375","156027.380859375","149879.896459375","235946.068359375","100","100","C16H39Cl2N4O14S","N.[Cl-].NCCNCCN.OC=O.OC=O.OC(=O)CCCCC(O)=O.O[S](O)(=O)=O.ClCC1CO1.C=O","0"
"615.1671346","5.008833333","100","100","100","100","200322.490259375","156027.380859375","149879.896459375","235946.068359375","100","100","C16H36Cl2N3O14S","[Cl-].NCCNCCN.OC=O.OC=O.OC(=O)CCCCC(O)=O.O[S](O)(=O)=O.ClCC1CO1.C=O","0"
"615.1671346","5.008833333","100","100","100","100","200322.490259375","156027.380859375","149879.896459375","235946.068359375","100","100","C32H31ClN2O7","OC(=O)c1ccccc1c2c3cc4CCCN5CCCc(c3[o+]c6c7CCCN8CCCc(cc26)c78)c45.[O-][Cl](=O)(=O)=O","0"
"615.4217326","9.0265","156082.787109375","106062.396509375","148844.068409375","184008.349609375","1226676.28710938","917486.849609375","583684.912109375","643631.787109375","1139722.66210938","1601645","C31H54N2O8","CCOC(=O)CC(NC1CCC(CC2CCC(NC(CC(=O)OCC)C(=O)OCC)C(C)C2)CC1C)C(=O)OCC","0.01272493"
"614.4821167","7.931033333","1672764.71289062","5656323.83789062","2859561.58789062","1149308.33789062","8945197.83789062","8969937.83789062","3814307.08789062","4212362.33789062","6206581.33789062","10569085","C34H61NO7","CCCCCCCCCCCCCCCCCCCN(C(C(=O)OCC(C)C)C(=O)OCC(C)C)C(=O)\C=C/C(O)=O","0.513325003174789"
"614.4821167","7.931033333","1672764.71289062","5656323.83789062","2859561.58789062","1149308.33789062","8945197.83789062","8969937.83789062","3814307.08789062","4212362.33789062","6206581.33789062","10569085","C35H64O5S","CCCCCCCCCCCCc1cccc(c1CCCCCCCCCCCC)[S](O)(=O)=O.CC2CO2.C3CO3","0"
"614.5041504","11.00358333","100","100","100","100","7908213","9067448","11765739","10184435","480628.2813","110326.5391","C30H65N3O5S","CCCCCCCCCCCCCCCCCC(=O)N(CCCN(C)C)CCCN(C)C.CO[S](=O)(=O)OC","-0.565834692"
"616.4241333","6.704516667","335092.990284375","736754.458984375","285853.865284375","286845.115284375","100","100","100","100","715330.833984375","100","C31H54N2O8","CCOC(=O)CC(NC1CCC(CC2CCC(NC(CC(=O)OCC)C(=O)OCC)C(C)C2)CC1C)C(=O)OCC","-4.418540914"
"616.4506022","11.82163333","23731703.421875","22291127.421875","32450033.421875","16259923.421875","100","100","100","100","100","101530.2109","C38H52N4O2","NC1CCC(CC1)c2ccc(C3CCC(N)CC3)c4C(=O)c5c(ccc(C6CCC(N)CC6)c5C(=O)c24)C7CCC(N)CC7","-4.960483995"
"616.4506022","11.82163333","23731703.421875","22291127.421875","32450033.421875","17609499.421875","100","100","100","100","100","101530.2109","C38H52N4O2","NC1CCC(CC1)c2ccc(C3CCC(N)CC3)c4C(=O)c5c(ccc(C6CCC(N)CC6)c5C(=O)c24)C7CCC(N)CC7","-4.960483995"
"617.165568","4.792116667","100","100","100","100","623863.99609375","885935.93359375","977366.99609375","723086.18359375","782283.18359375","11174443","C37H21N5O5","O=C1c2ccccc2C(=O)c3c(Nc4nc(Nc5cccc6C(=O)c7ccccc7C(=O)c56)nc(Oc8ccccc8)n4)cccc13","-2.732445152"
"617.3632813","4.705683333","143282.51950625","129732.66020625","100","100","100","120822.66020625","100","100","100","856738.375","C30H66Br2N2","[Br-].[Br-].CCCC[N+](CCCC)(CCCC)CCCCCC[N+](CCCC)(CCCC)CCCC","0"
"617.3632813","4.705683333","143282.51950625","129732.66020625","100","100","100","120822.66020625","100","100","100","856738.375","C33H47ClN4O3","[H+].[Cl-].CCC(Oc1ccc(cc1C(C)(C)CC)C(C)(C)CC)C(=O)Nc2ccc(cc2)N3N=C(CC3=O)N4CCCC4","-5.15049466950697"
"617.3856405","7.529116667","852317.596203125","728499.595703125","1803129.78320312","834787.283203125","144996.377003125","100","100","100","244818.377003125","100","C37H58O3S2","CCCCCCCCCCCCSCCC(=O)Oc1cc(C)c(Sc2cc(c(O)cc2C)C(C)(C)C)cc1C(C)(C)C","-0.556152325752568"
"617.3856405","7.529116667","852317.596203125","728499.595703125","1803129.78320312","834787.283203125","144996.377003125","100","100","100","244818.377003125","100","C40H48N4O2","CCCCC1=CC(=N/Nc2ccc(cc2C)C3(CCCCC3)c4ccc(N\N=C\5C=C(CCCC)C=CC5=O)c(C)c4)\C(=O)C=C1","-2.14820657284199"
"617.3856405","7.529116667","852317.596203125","728499.595703125","2079928.53320312","596962.908203125","144996.377003125","100","100","100","244818.377003125","100","C37H58O3S2","CCCCCCCCCCCCSCCC(=O)Oc1cc(C)c(Sc2cc(c(O)cc2C)C(C)(C)C)cc1C(C)(C)C","-0.556152325752568"
"617.3856405","7.529116667","852317.596203125","728499.595703125","2079928.53320312","596962.908203125","144996.377003125","100","100","100","244818.377003125","100","C40H48N4O2","CCCCC1=CC(=N/Nc2ccc(cc2C)C3(CCCCC3)c4ccc(N\N=C\5C=C(CCCC)C=CC5=O)c(C)c4)\C(=O)C=C1","-2.14820657284199"
"617.3865356","5.86655","1507665.34179688","1178782.84179688","100","100","100","100","100","100","100","100","C37H58O3S2","CCCCCCCCCCCCSCCC(=O)Oc1cc(C)c(Sc2cc(c(O)cc2C)C(C)(C)C)cc1C(C)(C)C","-3.417910483"
