mz,rt,X700_900_Pos_jgu1.mzXML,X700_900_Pos_jgu2.mzXML,X700_900_Pos_jgw1.mzXML,X700_900_Pos_jgw2.mzXML,X700_900_Pos_nju1.mzXML,X700_900_Pos_nju2.mzXML,X700_900_Pos_njw1.mzXML,X700_900_Pos_njw2.mzXML,X700_900_Pos_oju2.mzXML,X700_900_Pos_ojw1.mzXML,formula.pred,SMILES,allscore
735.5217489,8.07485,17019452.44,14083119.44,3328784.188,3510903.688,73842112.44,89351072.44,69165552.44,106830696.4,104966872.4,94165936,C38H72N2O6S2,CCCCCCCCCCCCCCCC(=O)NC(CSSCC(NC(=O)CCCCCCCCCCCCCCC)C(O)=O)C(O)=O,-5.065948347
736.5247599,8.07485,7443308.334,6724705.334,4677706.834,2967897.584,30307917.33,36456723.33,28110863.33,42628235.33,887778.3965,1306908.25,C38H72N2O6S2,CCCCCCCCCCCCCCCC(=O)NC(CSSCC(NC(=O)CCCCCCCCCCCCCCC)C(O)=O)C(O)=O,-4.337884361
736.5233765,11.81308333,100,100,100,100,100,100,100,100,217949.5722,35674.16797,C38H72N2O6S2,CCCCCCCCCCCCCCCC(=O)NC(CSSCC(NC(=O)CCCCCCCCCCCCCCC)C(O)=O)C(O)=O,-0.481504149
736.5247599,8.07485,7443308.334,6724705.334,4677706.834,2967897.584,30307917.33,36456723.33,28110863.33,42628235.33,6206551.834,3397773.25,C38H72N2O6S2,CCCCCCCCCCCCCCCC(=O)NC(CSSCC(NC(=O)CCCCCCCCCCCCCCC)C(O)=O)C(O)=O,-4.337884361
736.5247599,8.07485,7443308.334,6724705.334,3278265.084,2285169.584,30307917.33,36456723.33,28110863.33,42628235.33,42546719.33,38144644,C38H72N2O6S2,CCCCCCCCCCCCCCCC(=O)NC(CSSCC(NC(=O)CCCCCCCCCCCCCCC)C(O)=O)C(O)=O,-4.337884361
736.6545003,10.42868333,843238.1836,2562282.746,1170522.996,2251121.746,100,100,100,100,100,100,C46H86O6,CCCCCCCCCCCCCCCCCCOC(=O)C(C)=C.CCCCCCCCCCCCOC(=O)C(C)=C.CCCCOC(=O)C(C)=C,-6.055486732
736.6545003,10.42868333,843238.1836,2562282.746,1170522.996,2251121.746,100,100,100,100,100,100,C46H86O6,CCCCCCCCCCCCCCCCCCOC(=O)C(C)=C.CCCCCCCCCCCCOC(=O)C(C)=C.CCCCOC(=O)C(C)=C,-6.222153399
736.5245361,8.07485,1924010.834,2138373.834,1899181.209,1023917.334,8150685.834,9515019.334,6821998.834,10174562.33,248092.834,308636.2188,C38H72N2O6S2,CCCCCCCCCCCCCCCC(=O)NC(CSSCC(NC(=O)CCCCCCCCCCCCCCC)C(O)=O)C(O)=O,-3.114961212
736.5247803,8.398083333,1924010.834,2138373.834,1899181.209,1023917.334,8150685.834,9515019.334,6821998.834,10174562.33,10841939.33,9038166,C38H72N2O6S2,CCCCCCCCCCCCCCCC(=O)NC(CSSCC(NC(=O)CCCCCCCCCCCCCCC)C(O)=O)C(O)=O,-4.433548604
738.6706543,10.98853333,3049249.199,4319782.699,3588102.449,4480312.699,100,100,100,100,100,33821.16797,C43H83N3O4,CCCCC/C=C\C\C=C/CCCCCCCC(O)=O.CCCCC/C=C\C\C=C/CCCCCCCC(O)=O.CN(CCCN)CCCN,-4.336832293
740.2267049,6.438633333,100,100,100,100,461774.9043,590418.1543,538044.9043,654333.2793,100,100,C39H35N3O6S2,CN(C)c1ccc(cc1)C(C(O[S](=O)(=O)c2ccccc2)=NC3Cc4ccc3cc4)C(O[S](=O)(=O)c5ccccc5)=NC6Cc7ccc6cc7,-0.570408892
740.7293905,6.433816667,100,100,100,100,351054.7413,443518.8975,539341.085,396362.2725,100,100,C22H18Br4Cl2O4,CC(C)(c1cc(Br)c(O)c(Br)c1)c2cc(Br)c(O)c(Br)c2.Oc3ccccc3.ClC(Cl)=O,0
