mz,minintensity,sampleID,IsUnique,,Formula,ProdList,+e-,-10 ppm,+10 ppm,,Match found?,Total matches
123.044,2100.245117,9,FALSE,,,,,,,,,
125.023,4994.849609,1,FALSE,,,,,,,,,
125.023,3286.63916,2,FALSE,,,,,,,,,
125.023,2906.47876,3,FALSE,,,,,,,,,
125.023,4882.548828,4,FALSE,,,,,,,,,
125.023,4760.61084,5,FALSE,,,,,,,,,
125.023,4627.643066,6,FALSE,,,,,,,,,
125.023,4024.121826,7,FALSE,,,,,,,,,
125.023,4957.212891,8,FALSE,,,,,,,,,
125.023,3503.616699,9,FALSE,,,,,,,,,
125.06,7946.402344,1,FALSE,,,,,,,,,
125.06,7266.352051,2,FALSE,,,,,,,,,
125.06,7828.862793,3,FALSE,,,,,,,,,
125.06,7458.049316,4,FALSE,,,,,,,,,
125.06,8162.485352,5,FALSE,,,,,,,,,
125.06,7490.632324,9,FALSE,,,,,,,,,
125.096,3574.463623,1,FALSE,,,,,,,,,
125.096,3050.616211,2,FALSE,,,,,,,,,
125.096,2803.566162,3,FALSE,,,,,,,,,
125.096,3821.48877,4,FALSE,,,,,,,,,
125.096,3188.872559,5,FALSE,,,,,,,,,
125.096,3293.181152,6,FALSE,,,,,,,,,
125.096,4021.890869,8,FALSE,,,,,,,,,
125.096,3192.855225,9,FALSE,,,,,,,,,
127.014,3682.532227,1,FALSE,,,,,,,,,
127.014,3268.389893,2,FALSE,,,,,,,,,
127.014,3257.437988,3,FALSE,,,,,,,,,
127.014,4011.911133,4,FALSE,,,,,,,,,
127.014,3449.427002,5,FALSE,,,,,,,,,
127.014,3484.150879,6,FALSE,,,,,,,,,
127.014,3631.667725,7,FALSE,,,,,,,,,
127.014,4113.530762,8,FALSE,,,,,,,,,
127.014,4130.773926,9,FALSE,,,,,,,,,
127.039,18717.7832,1,FALSE,,,,,,,,,
127.039,16758.29688,2,FALSE,,,,,,,,,
127.039,19827.04102,3,FALSE,,,,,,,,,
127.039,21710.64258,4,FALSE,,,,,,,,,
127.039,19065.85352,5,FALSE,,,,,,,,,
127.039,21262.22461,6,FALSE,,,,,,,,,
127.039,16783.93555,7,FALSE,,,,,,,,,
127.039,19091.3125,8,FALSE,,,,,,,,,
127.039,17926.49219,9,FALSE,,,,,,,,,
127.075,14293.56543,1,FALSE,,,,,,,,,
127.075,13217.01758,2,FALSE,,,,,,,,,
127.075,15271.04785,3,FALSE,,,,,,,,,
127.075,15890.19922,4,FALSE,,,,,,,,,
127.075,14745.97363,5,FALSE,,,,,,,,,
127.075,15848.66406,6,FALSE,,,,,,,,,
127.075,14390.40723,7,FALSE,,,,,,,,,
127.075,15645.20117,8,FALSE,,,,,,,,,
128.009,9603.591797,1,FALSE,,,,,,,,,
128.009,9746.628906,2,FALSE,,,,,,,,,
128.009,7613.822266,3,FALSE,,,,,,,,,
128.009,10269.56445,4,FALSE,,,,,,,,,
128.009,9040.947266,5,FALSE,,,,,,,,,
128.009,7929.765625,6,FALSE,,,,,,,,,
128.009,8630.836914,7,FALSE,,,,,,,,,
128.009,8198.484375,8,FALSE,,,,,,,,,
128.009,8813.644531,9,FALSE,,,,,,,,,
128.034,9611.208008,1,FALSE,,,,,,,,,
128.034,12046.17969,2,FALSE,,,,,,,,,
128.034,13307.09668,3,FALSE,,,,,,,,,
128.034,10071.55371,4,FALSE,,,,,,,,,
128.034,11951.81055,5,FALSE,,,,,,,,,
128.034,9859.120117,6,FALSE,,,,,,,,,
128.034,8019.893066,7,FALSE,,,,,,,,,
128.034,11814.50586,8,FALSE,,,,,,,,,
128.034,8782.513672,9,FALSE,,,,,,,,,
129.018,39612.46094,1,FALSE,,,,,,,,,
129.018,49684.77344,2,FALSE,,,,,,,,,
