"mz","rt","Sample with Max Intensity","Formula","SMILES","Match Score"
"345.1360881","5.043216667","100_300_Neg_JeansC.mzXML","C20H18N4O2","COc1cc(N=Nc2ccccc2)c(C)cc1NN=C3C=CC(=O)C=C3","0"
"345.1360881","5.043216667","100_300_Neg_JeansC.mzXML","C20H18N4O2","CC1=NN(c2ccccc2)C(=O)C1C3C(=NN(c4ccccc4)C3=O)C","0"
"345.1360881","5.043216667","100_300_Neg_JeansC.mzXML","C20H18N4O2","CC/1=CC(=O)C=CC1=N/Nc2ccc(N\N=C/3C=CC(=O)C=C3C)cc2","0"
"345.1360881","5.043216667","100_300_Neg_JeansC.mzXML","C20H18N4O2","Cc1ccccc1N\N=C/2C=CC(=O)C(=N/Nc3ccccc3C)\C2=O","0"
"345.1360881","5.043216667","100_300_Neg_JeansC.mzXML","C19H16N4","N(\N=C(N=Nc1ccccc1)\c2ccccc2)c3ccccc3","-3.17123407353648"
"345.2438354","8.201566667","100_300_Neg_JeansG.mzXML","C19H36ClNO2","[H+].[Cl-].CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2","0.664790792"
"349.2423401","10.66913333","100_300_Neg_JeansF.mzXML","C18H38O4S","CCCCCCCCCCCCCCCCCCO[S](O)(=O)=O","-2.936571671"
"350.2456462","10.63985","100_300_Neg_JeansF.mzXML","C18H38O4S","CCCCCCCCCCCCCCCCCCO[S](O)(=O)=O","-2.447751492"
"349.1321106","6.703483333","100_300_Neg_JeansG.mzXML","C22H21O2P","CCOC(=O)C=[P](c1ccccc1)(c2ccccc2)c3ccccc3","0"
"349.1321106","6.703483333","100_300_Neg_JeansG.mzXML","C22H21O2P","Cc1cc(C)c(c(C)c1)C(=O)[P](=O)(c2ccccc2)c3ccccc3","0"
"349.1321106","6.703483333","100_300_Neg_JeansG.mzXML","C18H22N2O3","CCCOc1ccc([N-][N+](=O)c2ccc(OCCC)cc2)cc1","0"
"349.1321106","6.703483333","100_300_Neg_JeansG.mzXML","C18H22N2O3","Oc1c(ccc2ccccc12)C(=O)NCCCN3CCOCC3","0"
"349.1321106","6.703483333","100_300_Neg_JeansG.mzXML","C17H21ClN2O","CCN(CCCl)c1ccc(C=O)cc1.Cc2ccncc2","0"
"349.1321106","6.703483333","100_300_Neg_JeansG.mzXML","C20H24ClN","[H+].[Cl-].CN(C)CCC=C1c2ccccc2CCc3ccccc13","0"
"349.2422791","10.63985","100_300_Neg_JeansF.mzXML","C18H38O4S","CCCCCCCCCCCCCCCCCCO[S](O)(=O)=O","-2.348091625"
"353.2169088","8.12745","100_300_Neg_JeansC.mzXML","C16H38Br2N2","[Br-].[Br-].C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C","0"
"353.2169088","8.12745","100_300_Neg_JeansC.mzXML","C19H33NO6","CCCCC(CC)COC(=O)C=C.CC(=O)OC=C.OCNC(=O)C=C","0"
"353.2169088","8.12745","100_300_Neg_JeansC.mzXML","C19H31NO5","COC(=O)C(C)=C.CC(=C)C(=O)OCCN1CCOC12CCCCC2","0"
"353.270223","8.113616667","100_300_Neg_JeansG.mzXML","C21H38O4","CCCCCCC(C\C=C/CCCCCCCC(=O)OC)OC(C)=O","0"
"353.270223","8.113616667","100_300_Neg_JeansG.mzXML","C21H38O4","CCCCCCCCCCCCOC(=O)C(C)=C.COC(=O)C(C)=C","0"
"353.270223","8.113616667","100_300_Neg_JeansG.mzXML","C21H40O5","CCCCCCC(O)C/C=C/CCCCCCCC(=O)OCC(O)CO","-1.27096438914375"
"353.270223","8.113616667","100_300_Neg_JeansG.mzXML","C21H40O5","CCCCCC[C@@H](O)C\C=C/CCCCCCCC(=O)OCC(O)CO","-1.27096438914375"
"353.270223","8.113616667","100_300_Neg_JeansG.mzXML","C20H36O2","CCCCC/C=C\C\C=C/CCCCCCCC(=O)OCC","-2.73573578804424"
"354.2200724","8.12745","100_300_Neg_JeansC.mzXML","C23H30O3","CCCCCCCCCCOc1ccc(c(O)c1)C(=O)c2ccccc2","0"
"354.2200724","8.12745","100_300_Neg_JeansC.mzXML","C23H30O3","CCCCCCOc1ccc(cc1)C(=O)Oc2ccc(CCCC)cc2","0"
"354.2200724","8.12745","100_300_Neg_JeansC.mzXML","C23H30O3","CCCCCCOc1ccc(OC(=O)c2ccc(CCCC)cc2)cc1","0"
"354.2200724","8.12745","100_300_Neg_JeansC.mzXML","C23H30O3","CCCCCOc1ccc(cc1)C(=O)Oc2ccc(CCCCC)cc2","0"
"354.2200724","8.12745","100_300_Neg_JeansC.mzXML","C16H38Br2N2","[Br-].[Br-].C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C","-4.49689811073865"
"353.21698","8.12745","100_300_Neg_JeansC.mzXML","C19H31NO5","COC(=O)C(C)=C.CC(=C)C(=O)OCCN1CCOC12CCCCC2","0"
"353.21698","8.12745","100_300_Neg_JeansC.mzXML","C16H38Br2N2","[Br-].[Br-].C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C","-0.96152096942005"
"353.21698","8.12745","100_300_Neg_JeansC.mzXML","C19H33NO6","CCCCC(CC)COC(=O)C=C.CC(=O)OC=C.OCNC(=O)C=C","-5.96441911135442"
"361.1670024","6.230866667","100_300_Neg_JeansC.mzXML","C26H20N2","N(c1ccc(Nc2ccc3ccccc3c2)cc1)c4ccc5ccccc5c4","-2.89608549219747"
"361.1670024","6.230866667","100_300_Neg_JeansC.mzXML","C26H20N2","Cc1cc(c2ccccc2)c3ccc4c(cc(C)nc4c3n1)c5ccccc5","-2.89608549219747"
"363.2158813","5.5659","100_300_Neg_JeansF.mzXML","C18H34O5S","CCCCCCCC/C=C(/CCCCCCCC(O)=O)[S](O)(=O)=O","-2.9518083"
"363.2215474","8.516966667","100_300_Neg_JeansF.mzXML","C18H36O5S","CCCCCCCCCCCCCCCCC(C(O)=O)[S](O)(=O)=O","-2.760851142"
"365.218689","4.11135","100_300_Neg_JeansG.mzXML","C23H28N2O2","CN(C)c1ccc(cc1)C=CC2=[N+](C)c3ccccc3C2(C)C.CC([O-])=O","0.025929455952083"
"365.218689","4.11135","100_300_Neg_JeansG.mzXML","C23H28N2O2","CCCCC(CC)CNc1ccc(NC)c2C(=O)c3ccccc3C(=O)c12","0.025929455952083"
"365.218689","4.11135","100_300_Neg_JeansG.mzXML","C17H36O9","CCC(CO)(CO)CO.CC(C)(CO)CO.OC(=O)CCCCC(O)=O","-3.99598367000463"
"365.218689","4.11135","100_300_Neg_JeansG.mzXML","C16H32O6","OCCCCCCO.OC(=O)CCCCCCCCC(O)=O","-4.51077287766285"
"366.1440633","5.273683333","100_300_Neg_JeansC.mzXML","C20H20ClN5","[Cl-].Cn1c(C)cc(N\N=C\2C(=Nc3ccccc23)C)[n+]1c4ccccc4","-3.517242006"
"367.231425","7.892916667","100_300_Neg_JeansC.mzXML","C20H35NO6","CCOC(=O)C=C.CCN(CC)CCOC(=O)C(C)=C.COC(=O)C(C)=C","-4.8668564140125"
"367.231425","7.892916667","100_300_Neg_JeansC.mzXML","C20H35NO6","CCOC(=O)C=C.COC(=O)C(C)=C.CC(=C)C(=O)OCCNC(C)(C)C","-4.8668564140125"
"367.231425","7.892916667","100_300_Neg_JeansC.mzXML","C20H35NO6","COC(=O)C(C)=C.CC(C)COC(=O)C(C)=C.CC1CN1.CC(=C)C(O)=O","-4.8668564140125"
