mz,,,,max,step 0.002,upper,lower,Match?,Match total,,step 0.001,upper,lower,Match?,Match total,,step 0.0005,upper,lower,Match?,Match total,,step 0.0002,step 0.0001
100.0026245,TRUE,100.0026,33,,100.116,100.1165,100.1155,FALSE,,,100.058,100.0585,100.0575,FALSE,,,100.029,100.0295,100.0285,FALSE,,,,
100.0026321,TRUE,100.0026,33,,100.118,100.1185,100.1175,FALSE,,,100.059,100.0595,100.0585,FALSE,,,100.0295,100.03,100.029,FALSE,,,,
100.0026321,TRUE,100.0026,33,,100.12,100.1205,100.1195,FALSE,,,100.06,100.0605,100.0595,TRUE,,,100.03,100.0305,100.0295,FALSE,,,,
100.0026321,TRUE,100.0026,33,,100.122,100.1225,100.1215,FALSE,,,100.061,100.0615,100.0605,TRUE,,,100.0305,100.031,100.03,FALSE,,,,
100.0026321,TRUE,100.0026,33,,100.124,100.1245,100.1235,FALSE,,,100.062,100.0625,100.0615,FALSE,,,100.031,100.0315,100.0305,FALSE,,,,
100.0026398,TRUE,100.0026,33,,100.126,100.1265,100.1255,FALSE,,,100.063,100.0635,100.0625,FALSE,,,100.0315,100.032,100.031,FALSE,,,,
100.0026474,TRUE,100.0026,33,,100.128,100.1285,100.1275,FALSE,,,100.064,100.0645,100.0635,FALSE,,,100.032,100.0325,100.0315,FALSE,,,,
100.002655,TRUE,100.0027,11,,100.13,100.1305,100.1295,FALSE,,,100.065,100.0655,100.0645,FALSE,,,100.0325,100.033,100.032,FALSE,,,,
100.002655,TRUE,100.0027,11,,100.132,100.1325,100.1315,FALSE,,,100.066,100.0665,100.0655,FALSE,,,100.033,100.0335,100.0325,TRUE,,,,
100.0026627,TRUE,100.0027,11,,100.134,100.1345,100.1335,FALSE,,,100.067,100.0675,100.0665,FALSE,,,100.0335,100.034,100.033,TRUE,,,,
100.0026627,TRUE,100.0027,11,,100.136,100.1365,100.1355,FALSE,,,100.068,100.0685,100.0675,FALSE,,,100.034,100.0345,100.0335,TRUE,,,,
100.0026627,TRUE,100.0027,11,,100.138,100.1385,100.1375,TRUE,,,100.069,100.0695,100.0685,FALSE,,,100.0345,100.035,100.034,FALSE,,,,
100.0026627,TRUE,100.0027,11,,100.14,100.1405,100.1395,FALSE,,,100.07,100.0705,100.0695,FALSE,,,100.035,100.0355,100.0345,FALSE,,,,
100.0026703,TRUE,100.0027,11,,100.142,100.1425,100.1415,FALSE,,,100.071,100.0715,100.0705,FALSE,,,100.0355,100.036,100.035,FALSE,,,,
100.0026703,TRUE,100.0027,11,,100.144,100.1445,100.1435,FALSE,,,100.072,100.0725,100.0715,FALSE,,,100.036,100.0365,100.0355,FALSE,,,,
100.0026855,TRUE,100.0027,11,,100.146,100.1465,100.1455,FALSE,,,100.073,100.0735,100.0725,FALSE,,,100.0365,100.037,100.036,FALSE,,,,
100.0027161,TRUE,100.0027,11,,100.148,100.1485,100.1475,FALSE,,,100.074,100.0745,100.0735,FALSE,,,100.037,100.0375,100.0365,FALSE,,,,
100.0027237,TRUE,100.0027,11,,100.15,100.1505,100.1495,FALSE,,,100.075,100.0755,100.0745,FALSE,,,100.0375,100.038,100.037,FALSE,,,,
100.0027542,FALSE,100.0028,1,,100.152,100.1525,100.1515,FALSE,,,100.076,100.0765,100.0755,FALSE,,,100.038,100.0385,100.0375,FALSE,,,,
100.0072937,TRUE,100.0073,1,,100.154,100.1545,100.1535,FALSE,,,100.077,100.0775,100.0765,FALSE,,,100.0385,100.039,100.038,TRUE,,,,
100.0074081,FALSE,100.0074,1,,100.156,100.1565,100.1555,FALSE,,,100.078,100.0785,100.0775,FALSE,,,100.039,100.0395,100.0385,TRUE,,,,
100.0106506,TRUE,100.0107,4,,100.158,100.1585,100.1575,FALSE,,,100.079,100.0795,100.0785,FALSE,,,100.0395,100.04,100.039,TRUE,,,,
100.0106583,TRUE,100.0107,4,,100.16,100.1605,100.1595,FALSE,,,100.08,100.0805,100.0795,TRUE,,,100.04,100.0405,100.0395,FALSE,,,,
