"mz","rt","X300_500_Neg_Blank1.mzXML","X300_500_Neg_Blank2.mzXML","X300_500_Neg_JeansA.mzXML","X300_500_Neg_JeansB.mzXML","X300_500_Neg_JeansC.mzXML","X300_500_Neg_JeansD.mzXML","X300_500_Neg_JeansDx.mzXML","X300_500_Neg_JeansE.mzXML","X300_500_Neg_JeansF.mzXML","X300_500_Neg_JeansG.mzXML","X300_500_Neg_JeansGx.mzXML","MeOH_20190615135739.mzXML","SampleID","formula.pred","isoscore","mserror","ms1score","SMILES","DbID","Adducts","neutralscore","ionmodescore","adductscore","MS2score","rtscore","allscore"
309.15321858724,5.04321666666667,84162.25,100501.6953125,117442.7109375,104854.78125,690510.875,110136.8046875,108186.1015625,120569.40625,117182.546875,139749.046875,99989.28125,97932.5390625,5,"C15H21NO3","-0.489449382473172","-4.47473513450026","-4.96418451697343","OC(=O)C=C.C=Cc1ccccc1.C2COCCN2","23942","[M+CH2O2-H]-","0","0","0","0",0,"-4.96418451697343"
309.17490641276,5.68003333333333,1303170.875,2371689.25,1580069,3139675,36359204,3882525,2716417.75,2044376.25,8499306,3211171,3854087.25,2576388.25,5,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
309.17490641276,5.68003333333333,75378.1640625,2371689.25,1580069,53243.48828125,36359204,3882525,2716417.75,2044376.25,8499306,3211171,3854087.25,2576388.25,5,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
307.1953125,7.04898333333333,100,100,414679.375,325978.25,1478456.75,256830.75,54738.0234375,2296.91577148438,384743.09375,563847.0625,135583.96875,100,5,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
308.19873046875,7.04898333333333,100,100,159695.1875,95463.5234375,583270.8125,108401.28125,20886.900390625,100,118335.2109375,238702.796875,63124.62890625,100,5,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
309.207427978516,5.27256666666667,10363.9306640625,8198.2783203125,8418.541015625,20783.541015625,46720.7265625,25885.484375,4717.5625,20531.994140625,122609.453125,172584.03125,37151.80078125,6034.548828125,10,"C18H30O4;C18H30O4;C18H30O4;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2","0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249","0.00995033085316809;0.00995033085316809;0.00995033085316809;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905","0.0197367767842906;0.0197367767842906;0.0197367767842906;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793","O=C(CCCCC(=O)OC1CCCCC1)OC2CCCCC2;CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C;CC(=O)OC1(C)CCC2C(C)(C)CCCC2(C)C1CC(O)=O;CC1(C)CCCC2(C)C1CCC3(C)OC(=O)CCC23;C[C@@H]1CC[C@H]2C(C)(C)C3CC12CCC3(C)OC(C)=O;C[C@H]1CC[C@H](CC2=C1CC[C@@H]2C)C(C)(C)OC(C)=O;CC(C)=CCC\C(C)=C/CCC(C)(OC(C)=O)C=C;CCOC(OCC)C(C)Cc1ccc(cc1)C(C)C;CCCCCCCCCc1ccc(OCCO)cc1;CCCCCCCCCc1ccccc1OCCO;CC(=O)OC/C=C(C)/CC/C=C(C)/CCC=C(C)C;CCC(=O)CCC1C(=CCCC1(C)C)C.OCC#C;CC1CCCC(COC(C)=O)C2CC(CC12)C(C)=C;CCC(=O)OCC(C)(C)CC1=C(C)CCC1C(C)=C","6323;12648;15343;19704;799;889;3969;8446;12857;17751;18576;19286;31134;32505","[M-H]-;[M-H]-;[M-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-","0","-0.5;-0.5;0;0;0;0;0;0;0;0;0;0;0;0","1;1;1;0;0;0;0;0;0;0;0;0;0;0","0",0,"0;0;1.01973677678429;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793"
309.153350830078,5.07181666666667,15078.1611328125,18754.365234375,18003.1328125,18680.431640625,129187.84375,31168.779296875,18912.513671875,17379.818359375,29079.470703125,26985.5625,22665.25,18498.259765625,5,"C15H21NO3","-0.484310641813721","-3.17329249981262","-3.65760314162634","OC(=O)C=C.C=Cc1ccccc1.C2COCCN2","23942","[M+CH2O2-H]-","0","0","0","0",0,"-3.65760314162634"
309.174652099609,5.68003333333333,205841.671875,324277.1875,226903.46875,487719.71875,5641486,613233.6875,414109.59375,334239.4375,1342144.125,484711.53125,568799.5,376037.625,5,"C14H30O5S","0.0088371339942025","-4.36192971135503","-4.35309257736083","CCCCCCCCCCCCOCCO[S](O)(=O)=O","23693","[M-H]-","0","0","1","0",0,"-3.35309257736083"
308.199005126953,7.10715,100,100,69805.515625,63817.16796875,283754.375,47682.30078125,8227.2724609375,100,58606.9921875,111199.9375,22463.39453125,100,5,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
310.855072021484,0.123992333333333,114276.4140625,113229.234375,95443.296875,97576.453125,93900.8046875,82728.9609375,107309.84375,111024.6171875,94175.5234375,105903.1015625,110763.7109375,106703.3515625,1,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
