mz,rt,X300_500_Neg_JeansA.mzXML,X300_500_Neg_JeansB.mzXML,X300_500_Neg_JeansC.mzXML,X300_500_Neg_JeansD.mzXML,X300_500_Neg_JeansDx.mzXML,X300_500_Neg_JeansE.mzXML,X300_500_Neg_JeansF.mzXML,X300_500_Neg_JeansG.mzXML,X300_500_Neg_JeansGx.mzXML,SampleID,formula.pred,isoscore,mserror,ms1score,SMILES,DbID,Adducts,neutralscore,ionmodescore,adductscore,MS2score,allscore,,460,rows
310.9313253,4.495083333,250771.7188,250011.7344,194830.8594,237532.2969,234790.5781,175675.0781,202744.375,215933.7813,231613.0156,1,0,0,0,0,0,0,0,0,0,0,0,0,,,
310.9314677,3.9294,210655.6719,193194,206664.7344,235107.1094,252492.375,201239.0938,204553.4688,204733.7969,202084.5469,5,0,0,0,0,0,0,0,0,0,0,0,0,,,
311.1690572,5.8972,676315.5,984116.75,554541.5,873661.6875,1012406.25,966520.4375,1134983.25,1287849.375,714822.625,8,C16H25NO5;C15H18N8;C16H27NO6;C15H23NO3;C15H23NO3;C15H23NO3,-0.484028474343239;-0.484385376914002;-0.484028474343239;-0.484028474343239;-0.484028474343239;-0.484028474343239,0.00995033085316809;0.00995033085316809;0.00995033085316809;-2.27756910840851;-2.27756910840851;-2.27756910840851,-0.474078143490071;-0.474435046060834;-0.474078143490071;-2.76159758275175;-2.76159758275175;-2.76159758275175,CCOC(=O)C(C)=C.CC(=C)C(O)=O.C=CN1CCCC1=O;Cc1ccccc1N=C(N)N=C(N)N.[nH]2nc3ccccc3n2;CCCCOC(=O)C=C.COC(=O)C(C)=C.OCNC(=O)C=C;CC(C)(N)CO.OC(=O)C=C.C=Cc1ccccc1;CC(C)(C)c1ccc(cc1)C(=O)N(CCO)CCO;CN(C)CCO.OC(=O)C=C.C=Cc1ccccc1,18077;28585;18371;23941;26586;36789,[M-H]-;[M]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0;0;0;0;0;0,0;0;0;0;0;0,1;0.5;0;0;0;0,0;0;0;0;0;0,0.525921856509929;0.025564953939166;-0.474078143490071;-2.76159758275175;-2.76159758275175;-2.76159758275175,,,
311.1693115,5.564266667,13067613,10721806,57065224,11448016,9404708,10390603,15683255,7325949,11190425,3,C16H25NO5;C15H18N8;C16H27NO6;C15H23NO3;C15H23NO3;C15H23NO3,-0.484044112514073;-0.484400036745348;-0.484044112514073;-0.484044112514073;-0.484044112514073;-0.484044112514073,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,-0.474093781660905;-0.47444970589218;-0.474093781660905;-0.474093781660905;-0.474093781660905;-0.474093781660905,CCOC(=O)C(C)=C.CC(=C)C(O)=O.C=CN1CCCC1=O;Cc1ccccc1N=C(N)N=C(N)N.[nH]2nc3ccccc3n2;CCCCOC(=O)C=C.COC(=O)C(C)=C.OCNC(=O)C=C;CC(C)(N)CO.OC(=O)C=C.C=Cc1ccccc1;CC(C)(C)c1ccc(cc1)C(=O)N(CCO)CCO;CN(C)CCO.OC(=O)C=C.C=Cc1ccccc1,18077;28585;18371;23941;26586;36789,[M-H]-;[M]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0;0;0;0;0;0,0;0;0;0;0;0,1;0.5;0;0;0;0,0;0;0;0;0;0,0.525906218339095;0.02555029410782;-0.474093781660905;-0.474093781660905;-0.474093781660905;-0.474093781660905,,,
311.2232157,4.856383333,15297.75,19208.29688,43918.28125,17903.35547,15841.60742,20680.01172,254217.2969,225391.6875,103583.2734,7,C18H32O4;C18H32O4;C16H36ClOP;C17H30O2;C17H30O2;C17H30O2;C17H30O2;C17H30O2,0.008891313667307;0.008891313667307;-0.536096946092146;0.008891313667307;0.008891313667307;0.008891313667307;0.008891313667307;0.008891313667307,-3.4521483051958;-3.4521483051958;0.00995033085316809;-4.2302058863231;-4.2302058863231;-4.2302058863231;-4.2302058863231;-4.2302058863231,-3.44325699152849;-3.44325699152849;-0.526146615238978;-4.2213145726558;-4.2213145726558;-4.2213145726558;-4.2213145726558;-4.2213145726558,CCCCCCCCCCCC(=O)OC=C.CC(=O)OC=C;CCCCOC(=O)C=C.CCCCC(CC)COC(=O)C=C;[Cl-].CCCC[P+](CCCC)(CCCC)CC(C)OC;CC(C)CCOC1=CC(C)(C)C(C(C)=O)C(C)(C)C1;C/C=C/C=C/CCCCCCCO[C@@H]1CCCCO1;COC1CC(CCC1O)C2CC3CCC2(C)C3(C)C;C#CCCCCCCCCCCOC1CCCCO1;CCCCCCC(=O)OC\C=C(C)\CCC=C(C)C,17940;18190;46814;15103;21871;33676;38351;42142,[M-H]-;[M-H]-;[M]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0;0;0;0;0;0;0;0,-0.5;-0.5;0;0;0;0;0;0,1;1;0.5;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0;-0.026146615238978;-4.2213145726558;-4.2213145726558;-4.2213145726558;-4.2213145726558;-4.2213145726558,,,
312.1727295,5.5355,2438574,1976089.625,10479090,2034881.25,1751280.625,1955095.625,2828798.5,1345902.5,2042061.25,3,C20H24O3,-4.605134368,-2.579132072,-7.18426644,CC(C)=CCC/C(C)=C/COc1ccc2C(=CC(=O)Oc2c1)C,3805,[M]-,0,0,0.5,0,0,,,
311.1687012,5.891633333,144367.8125,182925.7969,117748.6328,188332.3438,203714.8906,195140.2344,237776.1719,206516.2188,119988.125,7,C16H27NO6,-0.483995745,-4.564389706,-5.048385451,CCCCOC(=O)C=C.COC(=O)C(C)=C.OCNC(=O)C=C,18371,[M-H-H2O]-,0,0,0,0,-5.048385451,,,
310.8417358,7.87395,369677.4375,413161.4063,24748.91211,188890.2969,158353.7344,370058.7813,576384.375,453948.9375,432017.4375,7,0,0,0,0,0,0,0,0,0,0,0,0,,,
313.0786133,10.63985,19803.9375,19860.72852,16392.03125,35016.89453,92976.14063,87300.47656,190717.5469,103098.8516,28186.63672,7,C22H14;C22H14;C10H12N4O5,-0.0586233319414767;-0.0586233319414767;-0.00509384937920375,-2.73903191585127;-2.73903191585127;-3.23854785834523,-2.79765524779275;-2.79765524779275;-3.24364170772444,c1ccc2c(c1)ccc3cc4c(ccc5ccccc45)cc23;c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1;OCC1OC(C(O)C1O)n2cnc3C(=O)N=CNc23,18925;69;363,[M+Cl]-;[M+Cl]-;[M+CH2O2-H]-,0;0;0,-0.5;-0.5;0,0;0;0,0;0;0,0;0;-3.24364170772444,,,
313.0786133,10.63985,19803.9375,19860.72852,16477.49414,35016.89453,92976.14063,87300.47656,190717.5469,103098.8516,28186.63672,7,C22H14;C22H14;C10H12N4O5,-0.0586233319414767;-0.0586233319414767;-0.00509384937920375,-2.73903191585127;-2.73903191585127;-3.23854785834523,-2.79765524779275;-2.79765524779275;-3.24364170772444,c1ccc2c(c1)ccc3cc4c(ccc5ccccc45)cc23;c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1;OCC1OC(C(O)C1O)n2cnc3C(=O)N=CNc23,18925;69;363,[M+Cl]-;[M+Cl]-;[M+CH2O2-H]-,0;0;0,-0.5;-0.5;0,0;0;0,0;0;0,0;0;-3.24364170772444,,,
311.1169739,6.524116667,7530.692871,22511.38672,100,6561.900391,5872.999512,3782.624023,285083.9375,301650.8125,182716.5313,8,0,0,0,0,0,0,0,0,0,0,0,0,,,
