mz,,,,,Found
168.0427781,,,,,
168.103024,,,,,
168.111145,,,,,
168.83619,,,,,
168.8362518,,,,,
168.9060899,,,,,
168.9994003,,,,,
168.9994196,,,,,
168.9994493,,,,,
169.0142921,,,,,
169.0159398,,,,,
169.0176845,,,,,
169.0617613,,,,,
169.0870276,,,,,
169.1233856,,,,,
169.1233875,,,,,
169.1233978,,,,,
169.1234048,,,,,
169.9990481,,,,,
170.006987,,,,,
170.0822693,,,,,
170.0903145,,,,,
170.1186542,,,,,
170.8332333,,,,,
170.8951193,,,,,
170.9786924,,,,,
170.9950414,,,,,
170.9950576,,,,,
170.9966968,,,,,
171.0121551,,,,,
171.0272147,,,,,
171.0385923,,,,,
171.1026633,,,,,
171.1138584,,,,,
171.1138861,,,,,
171.1390504,,,,,
171.139057,,,,,
172.011584,,,,,
172.0154169,,,,,
172.0225007,,,,,
172.0979056,,,,,
172.1059906,,,,,
172.1059941,,,,,
172.1059971,,,,,
172.1172017,,,,,
172.1172175,,,,,
172.1423614,,,,,
172.1423849,,,,,
172.9823837,,,,,
172.9915035,,,,,
173.0079198,,,,,
173.0244031,,,,,
173.0819076,,,,,
173.0819355,,,,,
173.1012026,,,,,
173.1182906,,,,,
173.1183015,,,,,
173.9574641,,,,,
174.0112219,,,,,
174.027694,,,,,
174.0408807,,,,,
174.0852405,,,,,
174.0852622,,,,,
174.1216112,,,,,
174.121617,,,,,
174.1216257,,,,,
174.9534109,,,,,
175.061174,,,,,
175.4950115,,,,,
175.9464346,,,,,
175.946516,,,,,
175.9531235,,,,,
175.9946639,,,,,
176.0071168,,,,,
176.0071614,,,,,
176.0928539,,,,,
176.1010097,,,,,
176.4940142,,,,,
176.9501289,,,,,
176.9931553,,,,,
177.0556821,,,,,
177.0588715,,,,,
177.0920894,,,,,
177.0921021,,,,,
177.9926935,,,,,
178.027101,,,,,
178.0509486,,,,,
178.0591183,,,,,
178.0872846,,,,,
178.0872866,,,,,
178.5287664,,,,,
178.528867,,,,,
178.8838892,,,,,
178.8839898,,,,,
178.9451542,,,,,
178.9632386,,,,,
179.0348569,,,,,
179.0348883,,,,,
179.0348984,,,,,
179.0349069,,,,,
179.0349105,,,,,
179.0349187,,,,,
179.0349442,,,,,
179.0349526,,,,,
179.0349658,,,,,
179.0349669,,,,,
179.0349679,,,,,
179.0349776,,,,,
179.0349783,,,,,
179.034986,,,,,
179.034995,,,,,
179.0350382,,,,,
179.0383917,,,,,
179.0713482,,,,,
179.0924679,,,,,
179.9631385,,,,,
180.0158374,,,,,
180.0302108,,,,,
180.0665963,,,,,
180.0665979,,,,,
180.0666075,,,,,
180.9595387,,,,,
180.9729619,,,,,
181.0178097,,,,,
181.0718321,,,,,
182.0611224,,,,,
182.1186246,,,,,
182.9885632,,,,,
182.9885739,,,,,
182.988598,,,,,
182.9885988,,,,,
182.988599,,,,,
182.9886005,,,,,
182.9886017,,,,,
182.9886019,,,,,
182.988602,,,,,
182.9886059,,,,,
182.9886077,,,,,
182.9886113,,,,,
182.9886117,,,,,
182.9886119,,,,,
182.988612,,,,,
182.988616,,,,,
182.9886171,,,,,
182.9886173,,,,,
182.9886174,,,,,
182.9886188,,,,,
182.9886262,,,,,
182.9886299,,,,,
182.9886369,,,,,
182.9967972,,,,,
183.0046293,,,,,
183.015014,,,,,
183.0150161,,,,,
183.0150731,,,,,
183.0227613,,,,,
183.0269272,,,,,
183.0333993,,,,,
183.1026187,,,,,
183.1026459,,,,,
183.1389877,,,,,
183.1390613,,,,,
184.0146811,,,,,
184.0251643,,,,,
184.0978635,,,,,
184.0978795,,,,,
184.8763568,,,,,
184.8764642,,,,,
184.93094,,,,,
185.0104991,,,,,
185.0113173,,,,,
185.0277067,,,,,
185.0455143,,,,,
185.045526,,,,,
185.1546436,,,,,
185.1546577,,,,,
185.1546987,,,,,
186.038179,,,,,
186.0489761,,,,,
186.0771692,,,,,
186.1135481,,,,,
186.1215878,,,,,
186.1216287,,,,,
186.1579043,,,,,
