Compound (+ Cl-),Most Abundant Mass,Mass + e-,% Abundance,,Compound,Average Molecular Weight,Cl Average Weight,Cl Content (mass %)
C25H24Cl29,1340.281587,1340.282137,0.002255543,,C25H24Cl28,4.28470229,4.11303415,0.95993464
C25H23Cl30,1374.242615,1374.243165,0.001767927,,C25H23Cl29,3.435082883,3.330819399,0.969647462
C25H22Cl31,1408.203643,1408.204193,0.001384187,,C25H22Cl30,2.749634089,2.691557267,0.978878345
C25H21Cl32,1442.164671,1442.165221,0.001082612,,C25H21Cl31,2.197710781,2.170594712,0.987661675
C25H20Cl33,1476.125699,1476.126249,0.000845915,,C25H20Cl32,1.754114854,1.74714865,0.99602865
C25H19Cl34,1510.086727,1510.087277,0.000660361,,C25H19Cl33,1.398197859,1.403801336,1.004007643
C25H18Cl35,1544.047755,1544.048305,0.000515063,,C25H18Cl34,1.11309251,1.126031665,1.01162451
C25H17Cl36,1578.008783,1578.009333,0.000401407,,C25H17Cl35,0.885059931,0.901790101,1.018902867
C25H16Cl37,1611.969811,1611.970361,0.000312589,,C25H16Cl36,0.702939156,0.721120201,1.025864322
C25H15Cl38,1645.930839,1645.931389,0.000243246,,C25H15Cl37,0.557685726,0.575826511,1.032528688
C25H14Cl39,1679.891867,1679.892417,0.000189155,,C25H14Cl38,0.441987082,0.459186639,1.038914162
C25H13Cl40,1713.852895,1713.853445,0.000146995,,C25H13Cl39,0.349943517,0.365704093,1.045037488
C25H12Cl41,1747.813923,1747.814473,0.000114161,,C25H12Cl40,0.276804672,0.290897932,1.050914096
C25H11Cl42,1781.774951,1781.775501,8.86E-05,,C25H11Cl41,0.218752752,0.231125021,1.056558232
C25H10Cl43,1815.735979,1815.736529,6.87E-05,,C25H10Cl42,0.172724816,0.183430829,1.061983067
C25H9Cl44,1849.697007,1849.697557,5.33E-05,,C25H9Cl43,0.136267565,0.145424855,1.067200798
C25H8Cl45,1883.658035,1883.658585,4.13E-05,,C25H8Cl44,0.107419053,0.115177151,1.072222734
C25H7Cl46,1917.619063,1917.619613,3.20E-05,,C25H7Cl45,0.084612566,0.091132757,1.077059376
C25H6Cl47,1951.580091,1951.580641,2.48E-05,,C25H6Cl46,0.066598739,0.07204122,1.081720489
C25H5Cl48,1985.541119,1985.541669,1.92E-05,,C25H5Cl47,0.05238258,0.056898752,1.086215165
C25H4Cl49,2019.502147,2019.502697,1.48E-05,,C25H4Cl48,0.041172663,0.044900925,1.090551878
C25H3Cl50,2053.463175,2053.463725,1.15E-05,,C25H3Cl49,0.032340228,0.035404093,1.094738538
C25H2Cl51,2087.424203,2087.424753,8.86E-06,,C25H2Cl50,0.025386304,0.027894028,1.098782535
C25H1Cl52,2121.385231,2121.385781,6.84E-06,,C25H1Cl51,0.019915349,0.021960471,1.102690785
C25Cl53,2155.3461,2155.34665,5.28E-06,,C25Cl52,0.015614121,0.017276554,1.106469842
