Compound (+ Cl-),Most Abundant Mass,Mass + e-,% Abundance,,Compound,Average Molecular Weight,Cl Average Weight,Cl Content (mass %)
C17H4Cl33,1364.000499,1364.001049,0.000923638,,C17H4Cl32,1.752699588,1.74714865,0.996832921
C17H3Cl34,1397.961527,1397.962077,0.000721036,,C17H3Cl33,1.400076945,1.403801336,1.002660134
C17H2Cl35,1431.922555,1431.923105,0.000562388,,C17H2Cl34,1.116873698,1.126031665,1.008199645
C17H1Cl36,1465.883583,1465.884133,0.000438289,,C17H1Cl35,0.889802898,0.901790101,1.013471751
C17Cl37,1499.8445,1499.84505,0.00034131,,C17Cl36,0.708025301,0.721120201,1.018494961
C18H37Cl2,323.227231,323.227781,0.470907997,,C18H37Cl1,288.861307,35.45293492,0.122733416
C18H36Cl3,357.188259,357.188809,0.356800931,,C18H36Cl2,322.7773335,70.90586984,0.219674254
C18H35Cl4,393.146337,393.146887,0.345993972,,C18H35Cl3,357.4066613,106.3588048,0.297584842
C18H34Cl5,427.107365,427.107915,0.327693976,,C18H34Cl4,391.3902585,141.8117397,0.36232823
C18H33Cl6,461.068393,461.068943,0.297947412,,C18H33Cl5,426.1605821,177.2646746,0.415957463
C18H32Cl7,495.029421,495.029971,0.263376074,,C18H32Cl6,460.0998307,212.6726162,0.462231459
C18H31Cl8,530.987499,530.988049,0.255398812,,C18H31Cl7,493.2661558,248.1578203,0.503091115
C18H30Cl9,564.948527,564.949077,0.248801649,,C18H30Cl8,528.9054471,283.5324144,0.536073916
C18H29Cl10,598.909555,598.910105,0.235642261,,C18H29Cl9,562.2773646,318.7146053,0.566828091
C18H28Cl11,632.870583,632.871133,0.218219356,,C18H28Cl10,596.7211972,354.4084688,0.593926394
C18H27Cl12,668.828661,668.829211,0.211609822,,C18H27Cl11,630.8905713,389.6005103,0.61754055
C18H26Cl13,702.789689,702.790239,0.208434252,,C18H26Cl12,663.7925011,424.4552299,0.639439628
C18H25Cl14,736.750717,736.751267,0.20099921,,C18H25Cl13,699.5890382,460.521393,0.658274169
C18H24Cl15,770.711745,770.712295,0.190368144,,C18H24Cl14,733.3660502,495.4758078,0.675618687
C18H23Cl16,806.669823,806.670373,0.184602182,,C18H23Cl15,765.7313238,531.4616789,0.694057645
