SCCP 51.5,Area,%Cl,SCCP 63,Area,%Cl
C13H19Cl9,0,0.646470574,C13H19Cl9,0,0.646470574
C13H18Cl10,0,0.671597464,C13H18Cl10,0.13508542,0.671597464
C13H17Cl11,0,0.693919281,C13H17Cl11,0.006894982,0.693919281
C13H16Cl12,0,0.713362548,C13H16Cl12,0,0.713362548
C13H15Cl13,0,0.730258711,C13H15Cl13,0,0.730258711
C10H17Cl5,0.023454299,0.564029913,C10H17Cl5,0.006080629,0.564029913
C10H16Cl6,0.02495508,0.61001587,C10H16Cl6,0.053294673,0.61001587
C10H15Cl7,0,0.648963809,C10H15Cl7,0.07689705,0.648963809
C10H14Cl8,0,0.679450536,C10H14Cl8,0.027957944,0.679450536
C10H13Cl9,0,0.70652478,C10H13Cl9,0,0.70652478
C10H12Cl10,0,0.729148224,C10H12Cl10,0,0.729148224
C11H19Cl5,0.190121689,0.540036209,C11H19Cl5,0.024682333,0.540036209
C11H18Cl6,0.207928869,0.586515046,C11H18Cl6,0.188828706,0.586515046
C11H17Cl7,0.07314738,0.626189543,C11H17Cl7,0.482513564,0.626189543
C11H16Cl8,0,0.657507656,C11H16Cl8,0.37885722,0.657507656
C11H15Cl9,0,0.685441767,C11H15Cl9,0.126077667,0.685441767
C11H14Cl10,0,0.708874256,C11H14Cl10,0,0.708874256
C11H13Cl11,0,0.729870304,C11H13Cl11,0,0.729870304
C12H21Cl5,0.267436335,0.518017402,C12H21Cl5,0.01614271,0.518017402
C12H20Cl6,0.348227592,0.564770501,C12H20Cl6,0.095071813,0.564770501
C12H19Cl7,0.133116381,0.604976907,C12H19Cl7,0.387993842,0.604976907
C12H18Cl8,0.025165175,0.636957678,C12H18Cl8,0.566215036,0.636957678
C12H17Cl9,0,0.665603631,C12H17Cl9,0.327296586,0.665603631
C12H16Cl10,0,0.689720254,C12H16Cl10,0.066014748,0.689720254
C12H15Cl11,0,0.711427391,C12H15Cl11,0,0.711427391
C12H14Cl12,0,0.730319474,C12H14Cl12,0,0.730319474
C13H23Cl5,0.171100367,0.497740756,C13H23Cl5,0,0.497740756
C13H22Cl6,0.283350109,0.544593691,C13H22Cl6,0.022772827,0.544593691
C13H21Cl7,0.151666854,0.585171909,C13H21Cl7,0.164407973,0.585171909
C13H20Cl8,0.038257494,0.617673546,C13H20Cl8,0.414008737,0.617673546
C13H19Cl9,0,0.646470574,C13H19Cl9,0,0.646470574
C13H18Cl10,0,0.671597464,C13H18Cl10,0.154221868,0.671597464
C13H17Cl11,0,0.693919281,C13H17Cl11,0.006320118,0.693919281
C13H16Cl12,0,0.713362548,C13H16Cl12,0,0.713362548
C13H15Cl13,0,0.730258711,C13H15Cl13,0,0.730258711
C10H17Cl5,0.027511748,0.564029913,C10H17Cl5,0.007654888,0.564029913
C10H16Cl6,0.026990892,0.61001587,C10H16Cl6,0.063650844,0.61001587
C10H15Cl7,0,0.648963809,C10H15Cl7,0.098536634,0.648963809
C10H14Cl8,0,0.679450536,C10H14Cl8,0.038901861,0.679450536
C10H13Cl9,0,0.70652478,C10H13Cl9,0,0.70652478
C10H12Cl10,0,0.729148224,C10H12Cl10,0,0.729148224
C11H19Cl5,0.20285683,0.540036209,C11H19Cl5,0.030839096,0.540036209
C11H18Cl6,0.229706506,0.586515046,C11H18Cl6,0.236317723,0.586515046
C11H17Cl7,0.069946129,0.626189543,C11H17Cl7,0.591587377,0.626189543
C11H16Cl8,0,0.657507656,C11H16Cl8,0.507747115,0.657507656
C11H15Cl9,0,0.685441767,C11H15Cl9,0.164090117,0.685441767
C11H14Cl10,0,0.708874256,C11H14Cl10,0,0.708874256
C11H13Cl11,0,0.729870304,C11H13Cl11,0,0.729870304
C12H21Cl5,0.29024456,0.518017402,C12H21Cl5,0.022195618,0.518017402
C12H20Cl6,0.382860429,0.564770501,C12H20Cl6,0.127665441,0.564770501
C12H19Cl7,0.155150056,0.604976907,C12H19Cl7,0.49508793,0.604976907
C12H18Cl8,0.027954282,0.636957678,C12H18Cl8,0.727719749,0.636957678
C12H17Cl9,0,0.665603631,C12H17Cl9,0.416099346,0.665603631
C12H16Cl10,0,0.689720254,C12H16Cl10,0.091631614,0.689720254
C12H15Cl11,0,0.711427391,C12H15Cl11,0,0.711427391
C12H14Cl12,0,0.730319474,C12H14Cl12,0,0.730319474
C13H23Cl5,0.18114845,0.497740756,C13H23Cl5,0,0.497740756
C13H22Cl6,0.301073871,0.544593691,C13H22Cl6,0.029246982,0.544593691
C13H21Cl7,0.160822339,0.585171909,C13H21Cl7,0.220281795,0.585171909
