mz10ppm,matches10ppm,mz5ppm,matches5ppm,mz1ppm,matches1ppm
189.1282552,35,189.1282552,35,189.1282552,0
189.1284637,35,189.1284637,35,189.1284637,34
189.1284739,35,189.1284739,35,189.1284739,34
190.1317596,35,190.1317596,35,190.1317596,34
191.0172679,4,191.0172679,4,191.0172679,0
191.0172679,4,191.0172679,4,191.0172679,0
191.0337423,13,191.0337423,0,191.0337423,0
191.0713755,34,191.0713755,29,191.0713755,27
191.1077779,62,191.1077779,51,191.1077779,48
191.1441243,79,191.1441243,77,191.1441243,77
192.0666199,23,192.0666199,20,192.0666199,20
192.0667928,23,192.0667928,20,192.0667928,12
192.0819194,11,192.0819194,9,192.0819194,7
192.1109365,56,192.1109365,56,192.1109365,47
192.1519775,57,192.1519775,56,192.1519775,49
193.0869751,58,193.0869751,44,193.0869751,43
193.0870361,58,193.0870361,44,193.0870361,43
193.1233826,58,193.1233826,53,193.1233826,53
193.1598256,52,193.1598256,51,193.1598256,51
193.8459167,0,193.8459167,0,193.8459167,0
193.9315491,2,193.9315491,0,193.9315491,0
193.9316711,2,193.9316711,0,193.9316711,0
194.0823059,38,194.0823059,26,194.0823059,26
194.1408895,25,194.1408895,0,194.1408895,0
194.1408997,25,194.1408997,0,194.1408997,0
194.1416423,8,194.1416423,6,194.1416423,0
195.0296936,8,195.0296936,5,195.0296936,1
195.042867,40,195.042867,27,195.042867,25
195.04835,21,195.04835,9,195.04835,1
195.0814921,13,195.0814921,10,195.0814921,9
195.0815379,13,195.0815379,10,195.0815379,9
195.0850525,25,195.0850525,25,195.0850525,0
195.1026815,58,195.1026815,46,195.1026815,45
195.1139323,9,195.1139323,9,195.1139323,9
195.1390076,48,195.1390076,45,195.1390076,45
195.1390228,48,195.1390228,45,195.1390228,45
195.1390228,48,195.1390228,45,195.1390228,45
195.1390279,48,195.1390279,45,195.1390279,45
195.1390381,48,195.1390381,45,195.1390381,45
195.1390381,48,195.1390381,45,195.1390381,45
196.0170135,13,196.0170135,9,196.0170135,8
196.0170746,13,196.0170746,9,196.0170746,8
196.0170746,13,196.0170746,9,196.0170746,8
196.0880432,11,196.0880432,5,196.0880432,4
196.1131388,8,196.1131388,6,196.1131388,6
196.1342468,6,196.1342468,6,196.1342468,6
196.1468506,37,196.1468506,37,196.1468506,37
197.0220642,19,197.0220642,9,197.0220642,5
197.0220744,19,197.0220744,9,197.0220744,5
197.0607707,17,197.0607707,17,197.0607707,12
197.0641174,31,197.0641174,5,197.0641174,0
197.0719604,10,197.0719604,8,197.0719604,8
197.0819956,54,197.0819956,44,197.0819956,42
197.0971476,21,197.0971476,17,197.0971476,14
197.1183014,80,197.1183014,72,197.1183014,72
197.1183116,80,197.1183116,72,197.1183116,72
197.1183319,80,197.1183319,72,197.1183319,72
197.1183319,80,197.1183319,72,197.1183319,72
197.1545461,56,197.1545461,55,197.1545461,53
197.1545461,56,197.1545461,55,197.1545461,53
197.1548106,56,197.1548106,55,197.1548106,55
197.1552887,55,197.1552887,55,197.1552887,0
198.0592804,26,198.0592804,12,198.0592804,9
198.0592804,26,198.0592804,12,198.0592804,9
198.0592957,26,198.0592957,12,198.0592957,9
198.0592957,26,198.0592957,12,198.0592957,9
198.0641276,20,198.0641276,19,198.0641276,12
198.0685069,21,198.0685069,20,198.0685069,7
198.1003876,23,198.1003876,18,198.1003876,14
198.1578776,55,198.1578776,55,198.1578776,53
198.1579386,55,198.1579386,55,198.1579386,55
198.1581421,55,198.1581421,55,198.1581421,55
198.1863149,7,198.1863149,6,198.1863149,6
199.0618896,30,199.0618896,26,199.0618896,1
199.076355,15,199.076355,14,199.076355,12
199.0763855,15,199.0763855,14,199.0763855,12
199.0976257,35,199.0976257,22,199.0976257,19
199.112793,16,199.112793,14,199.112793,12
199.1339874,101,199.1339874,93,199.1339874,93
199.1701864,46,199.1701864,45,199.1701864,43
199.1702881,46,199.1702881,45,199.1702881,45
199.1703695,46,199.1703695,45,199.1703695,45
199.1704966,46,199.1704966,45,199.1704966,45
199.1704966,46,199.1704966,45,199.1704966,45
199.1705017,46,199.1705017,45,199.1705017,45
200.0021718,7,200.0021718,4,200.0021718,2
200.0544128,5,200.0544128,3,200.0544128,0
200.0544179,5,200.0544179,3,200.0544179,0
200.0544179,5,200.0544179,3,200.0544179,0
200.0622406,5,200.0622406,3,200.0622406,1
200.0842794,33,200.0842794,30,200.0842794,7
200.173172,46,200.173172,46,200.173172,0
200.1733144,46,200.1733144,46,200.1733144,0
200.1734212,46,200.1734212,45,200.1734212,0
200.173645,46,200.173645,45,200.173645,45
200.173823,46,200.173823,45,200.173823,45
200.3601074,0,200.3601074,0,200.3601074,0
200.3602854,0,200.3602854,0,200.3602854,0
200.3602854,0,200.3602854,0,200.3602854,0
201.0226135,6,201.0226135,3,201.0226135,2
201.0226288,6,201.0226288,3,201.0226288,2
201.0556793,23,201.0556793,16,201.0556793,15
201.055837,23,201.055837,16,201.055837,15
201.092041,21,201.092041,17,201.092041,11
201.0920512,21,201.0920512,17,201.0920512,12
201.0921021,21,201.0921021,18,201.0921021,12
201.1133067,66,201.1133067,59,201.1133067,59
201.1287231,22,201.1287231,22,201.1287231,0
201.1766408,2,201.1766408,0,201.1766408,0
201.1771596,2,201.1771596,2,201.1771596,0
201.1860657,10,201.1860657,10,201.1860657,10
201.1860657,10,201.1860657,10,201.1860657,10
201.9860077,6,201.9860077,6,201.9860077,0
202.0635223,24,202.0635223,19,202.0635223,11
202.066274,9,202.066274,5,202.066274,3
202.0874125,13,202.0874125,11,202.0874125,11
202.1033834,1,202.1033834,1,202.1033834,0
202.1033834,1,202.1033834,1,202.1033834,0
202.1350301,4,202.1350301,1,202.1350301,1
202.1576742,6,202.1576742,6,202.1576742,0
202.1580658,8,202.1580658,6,202.1580658,0
202.1584778,10,202.1584778,0,202.1584778,0
202.1584778,10,202.1584778,0,202.1584778,0
202.1587118,10,202.1587118,0,202.1587118,0
202.1587118,10,202.1587118,0,202.1587118,0
202.1589966,10,202.1589966,0,202.1589966,0
202.1589966,10,202.1589966,0,202.1589966,0
202.1592407,10,202.1592407,4,202.1592407,0
203.0382741,7,203.0382741,6,203.0382741,5
203.0712738,32,203.0712738,27,203.0712738,25
203.0712992,32,203.0712992,27,203.0712992,25
203.0713654,32,203.0713654,27,203.0713654,25
203.0713654,32,203.0713654,27,203.0713654,25
203.0713959,32,203.0713959,27,203.0713959,25
203.0739441,7,203.0739441,2,203.0739441,1
203.1072642,33,203.1072642,32,203.1072642,0
203.1077576,33,203.1077576,28,203.1077576,28
203.1077576,33,203.1077576,28,203.1077576,28
203.1078389,33,203.1078389,28,203.1078389,28
203.1111705,15,203.1111705,14,203.1111705,5
203.143926,34,203.143926,33,203.143926,18
203.144165,34,203.144165,33,203.144165,33
203.1443481,34,203.1443481,33,203.1443481,18
204.0057933,9,204.0057933,0,204.0057933,0
204.0057933,9,204.0057933,0,204.0057933,0
204.0058797,9,204.0058797,0,204.0058797,0
204.0063883,9,204.0063883,9,204.0063883,0
204.0301565,7,204.0301565,6,204.0301565,4
204.0303345,7,204.0303345,5,204.0303345,4
204.0414174,12,204.0414174,5,204.0414174,2
204.0778351,7,204.0778351,5,204.0778351,3
204.0778351,7,204.0778351,5,204.0778351,3
204.0819855,3,204.0819855,3,204.0819855,3
204.957667,8,204.957667,4,204.957667,3
204.957667,8,204.957667,4,204.957667,3
204.9576874,8,204.9576874,4,204.9576874,3
204.9576874,8,204.9576874,4,204.9576874,3
205.0620626,22,205.0620626,15,205.0620626,12
205.0745087,6,205.0745087,2,205.0745087,1
205.0852509,19,205.0852509,3,205.0852509,3
205.0869751,27,205.0869751,23,205.0869751,22
205.1230469,53,205.1230469,53,205.1230469,0
205.1594696,63,205.1594696,63,205.1594696,0
205.1595357,63,205.1595357,63,205.1595357,0
205.1595764,63,205.1595764,63,205.1595764,20
205.159612,63,205.159612,63,205.159612,62
205.1596222,63,205.1596222,63,205.1596222,62
205.1597595,63,205.1597595,62,205.1597595,62
205.1597646,63,205.1597646,62,205.1597646,62
205.1597748,63,205.1597748,62,205.1597748,62
205.1597799,63,205.1597799,62,205.1597799,62
205.15979,63,205.15979,62,205.15979,62
205.1598104,63,205.1598104,62,205.1598104,62
205.1598307,63,205.1598307,62,205.1598307,62
205.8730927,0,205.8730927,0,205.8730927,0
205.8730927,0,205.8730927,0,205.8730927,0
205.87323,0,205.87323,0,205.87323,0
205.87323,0,205.87323,0,205.87323,0
205.8735504,0,205.8735504,0,205.8735504,0
205.8735504,0,205.8735504,0,205.8735504,0
205.8735504,0,205.8735504,0,205.8735504,0
205.87382,0,205.87382,0,205.87382,0
205.87382,0,205.87382,0,205.87382,0
205.87382,0,205.87382,0,205.87382,0
205.87382,0,205.87382,0,205.87382,0
206.0903219,25,206.0903219,24,206.0903219,21
206.1626282,64,206.1626282,64,206.1626282,0
206.162674,64,206.162674,64,206.162674,0
206.1628723,64,206.1628723,64,206.1628723,0
206.1630402,64,206.1630402,64,206.1630402,62
206.1630452,64,206.1630452,64,206.1630452,62
206.9983775,18,206.9983775,9,206.9983775,5
206.9983775,18,206.9983775,9,206.9983775,5
206.9983978,18,206.9983978,10,206.9983978,5
206.9984131,18,206.9984131,10,206.9984131,5
207.0202942,8,207.0202942,0,207.0202942,0
207.02034,8,207.02034,0,207.02034,0
207.02034,8,207.02034,0,207.02034,0
207.0203552,8,207.0203552,0,207.0203552,0
207.092687,6,207.092687,3,207.092687,3
207.1027476,44,207.1027476,39,207.1027476,34
207.1028239,44,207.1028239,39,207.1028239,34
207.138799,39,207.138799,39,207.138799,0
207.138799,39,207.138799,39,207.138799,0
207.1389364,39,207.1389364,39,207.1389364,38
207.1390228,39,207.1390228,39,207.1390228,38
207.150233,0,207.150233,0,207.150233,0
208.0282644,4,208.0282644,2,208.0282644,0
208.0282644,4,208.0282644,2,208.0282644,0
208.0283203,4,208.0283203,2,208.0283203,1
208.0611725,21,208.0611725,19,208.0611725,2
208.0614014,21,208.0614014,18,208.0614014,16
208.1131846,10,208.1131846,9,208.1131846,7
208.1131846,10,208.1131846,9,208.1131846,7
208.1421814,39,208.1421814,39,208.1421814,0
208.9774831,12,208.9774831,10,208.9774831,0
208.9954631,14,208.9954631,7,208.9954631,3
208.9955444,17,208.9955444,7,208.9955444,3
209.0119324,12,209.0119324,4,209.0119324,0
209.0119731,12,209.0119731,5,209.0119731,0
209.0220083,31,209.0220083,13,209.0220083,3
209.0220083,31,209.0220083,13,209.0220083,3
209.0456085,23,209.0456085,14,209.0456085,14
209.0456085,23,209.0456085,14,209.0456085,14
209.0566101,19,209.0566101,15,209.0566101,5
209.061142,16,209.061142,11,209.061142,1
209.0611827,16,209.0611827,13,209.0611827,1
209.0817006,59,209.0817006,52,209.0817006,0
209.0970866,9,209.0970866,6,209.0970866,6
209.1083374,5,209.1083374,2,209.1083374,2
209.1083679,5,209.1083679,2,209.1083679,2
209.108373,5,209.108373,2,209.108373,2
209.108373,5,209.108373,2,209.108373,2
209.1181946,64,209.1181946,54,209.1181946,54
209.1182658,64,209.1182658,54,209.1182658,54
209.129425,11,209.129425,11,209.129425,10
209.1546427,43,209.1546427,42,209.1546427,40
209.1546478,43,209.1546478,42,209.1546478,40
209.1910197,30,209.1910197,30,209.1910197,30
209.1910655,30,209.1910655,30,209.1910655,30
209.7345022,0,209.7345022,0,209.7345022,0
209.7345022,0,209.7345022,0,209.7345022,0
209.7346547,0,209.7346547,0,209.7346547,0
209.7346547,0,209.7346547,0,209.7346547,0
209.7354736,0,209.7354736,0,209.7354736,0
209.9630127,5,209.9630127,3,209.9630127,0
209.9630432,5,209.9630432,3,209.9630432,0
210.0324453,19,210.0324453,16,210.0324453,1
210.0436859,12,210.0436859,3,210.0436859,1
210.0438182,12,210.0438182,3,210.0438182,0
210.048879,19,210.048879,13,210.048879,13
210.1579132,42,210.1579132,42,210.1579132,40
211.0400543,16,211.0400543,12,211.0400543,4
211.0610097,48,211.0610097,43,211.0610097,9
211.0610199,48,211.0610199,43,211.0610199,9
211.0739136,31,211.0739136,12,211.0739136,2
211.0750936,30,211.0750936,13,211.0750936,0
211.0764465,22,211.0764465,18,211.0764465,16
211.0764669,22,211.0764669,18,211.0764669,16
211.0975037,39,211.0975037,33,211.0975037,30
211.0975138,39,211.0975138,33,211.0975138,30
211.0988363,38,211.0988363,5,211.0988363,2
211.0988363,38,211.0988363,5,211.0988363,2
211.1126862,11,211.1126862,8,211.1126862,7
211.1213379,13,211.1213379,10,211.1213379,9
211.1214244,13,211.1214244,10,211.1214244,9
211.1336365,68,211.1336365,64,211.1336365,0
211.1338094,68,211.1338094,63,211.1338094,63
211.1338094,68,211.1338094,63,211.1338094,63
211.1338959,68,211.1338959,63,211.1338959,63
211.1338959,68,211.1338959,63,211.1338959,63
211.133906,68,211.133906,63,211.133906,63
211.1702627,30,211.1702627,28,211.1702627,28
211.1702728,30,211.1702728,28,211.1702728,28
211.1702983,30,211.1702983,28,211.1702983,28
211.170344,30,211.170344,28,211.170344,28
211.170344,30,211.170344,28,211.170344,28
212.0119019,6,212.0119019,6,212.0119019,6
212.0749664,11,212.0749664,10,212.0749664,1
212.0750275,11,212.0750275,10,212.0750275,1
212.0830332,21,212.0830332,2,212.0830332,1
212.0842743,22,212.0842743,18,212.0842743,10
212.1114451,8,212.1114451,8,212.1114451,1
212.125061,13,212.125061,8,212.125061,1
212.1292775,12,212.1292775,6,212.1292775,6
212.1292775,12,212.1292775,6,212.1292775,6
212.141571,18,212.141571,13,212.141571,0
212.1655782,6,212.1655782,6,212.1655782,6
212.1736145,28,212.1736145,28,212.1736145,28
212.2019908,0,212.2019908,0,212.2019908,0
213.032191,24,213.032191,16,213.032191,1
213.0556742,18,213.0556742,11,213.0556742,8
213.0556742,18,213.0556742,11,213.0556742,8
213.0668182,17,213.0668182,16,213.0668182,15
213.0774129,27,213.0774129,19,213.0774129,0
213.0782572,29,213.0782572,2,213.0782572,1
213.0919952,17,213.0919952,15,213.0919952,11
213.0922139,17,213.0922139,15,213.0922139,11
213.1130778,49,213.1130778,37,213.1130778,37
213.1131948,49,213.1131948,37,213.1131948,37
213.1132507,49,213.1132507,37,213.1132507,37
213.1406657,2,213.1406657,2,213.1406657,0
213.1495005,39,213.1495005,37,213.1495005,37
213.1495005,39,213.1495005,37,213.1495005,37
213.1495768,39,213.1495768,37,213.1495768,37
213.1858826,31,213.1858826,29,213.1858826,29
213.1858978,31,213.1858978,29,213.1858978,29
213.1859639,31,213.1859639,29,213.1859639,29
213.1859741,31,213.1859741,29,213.1859741,29
214.0543162,11,214.0543162,8,214.0543162,3
214.1270854,1,214.1270854,1,214.1270854,0
214.1528473,38,214.1528473,37,214.1528473,37
214.1529999,38,214.1529999,37,214.1529999,37
214.1811066,6,214.1811066,6,214.1811066,6
214.1811523,6,214.1811523,6,214.1811523,6
214.1893005,29,214.1893005,29,214.1893005,29
214.1893005,29,214.1893005,29,214.1893005,29
214.189387,29,214.189387,29,214.189387,29
215.0712941,18,215.0712941,16,215.0712941,13
215.0924276,16,215.0924276,10,215.0924276,10
215.1077067,12,215.1077067,12,215.1077067,10
215.1438141,14,215.1438141,14,215.1438141,0
215.1438141,14,215.1438141,14,215.1438141,0
215.1651357,32,215.1651357,31,215.1651357,31
215.1651815,32,215.1651815,31,215.1651815,31
215.1652374,32,215.1652374,31,215.1652374,31
215.1652374,32,215.1652374,31,215.1652374,31
215.9817047,6,215.9817047,4,215.9817047,2
215.9817251,6,215.9817251,4,215.9817251,2
215.998586,14,215.998586,7,215.998586,0
215.998586,14,215.998586,7,215.998586,0
216.0792135,12,216.0792135,10,216.0792135,3
216.0957082,14,216.0957082,10,216.0957082,10
216.1686961,31,216.1686961,31,216.1686961,31
216.9658407,11,216.9658407,7,216.9658407,1
217.006134,9,217.006134,3,217.006134,1
217.0067495,10,217.0067495,2,217.0067495,1
217.0175527,13,217.0175527,5,217.0175527,4
217.0175527,13,217.0175527,5,217.0175527,4
217.0424856,13,217.0424856,11,217.0424856,4
217.0424856,13,217.0424856,11,217.0424856,4
217.042511,13,217.042511,11,217.042511,4
217.042511,13,217.042511,11,217.042511,4
217.0504252,17,217.0504252,12,217.0504252,7
217.0505829,17,217.0505829,13,217.0505829,10
217.0717163,20,217.0717163,17,217.0717163,17
217.0863546,11,217.0863546,8,217.0863546,0
217.0869649,11,217.0869649,6,217.0869649,6
217.090566,9,217.090566,7,217.090566,0
217.1081034,19,217.1081034,14,217.1081034,14
217.1234843,19,217.1234843,16,217.1234843,16
217.1234843,19,217.1234843,16,217.1234843,16
217.1598765,23,217.1598765,23,217.1598765,23
217.1808268,10,217.1808268,10,217.1808268,10
217.1808268,10,217.1808268,10,217.1808268,10
218.0101115,9,218.0101115,2,218.0101115,1
218.0612284,9,218.0612284,6,218.0612284,5
218.0903168,7,218.0903168,6,218.0903168,6
218.1313477,18,218.1313477,13,218.1313477,9
218.1313477,18,218.1313477,13,218.1313477,9
218.1673228,16,218.1673228,16,218.1673228,0
218.1676178,16,218.1676178,16,218.1676178,14
218.1676178,16,218.1676178,16,218.1676178,14
218.9629008,20,218.9629008,16,218.9629008,1
219.0038859,8,219.0038859,6,219.0038859,2
219.0039368,9,219.0039368,6,219.0039368,2
219.0039368,9,219.0039368,6,219.0039368,2
219.0661723,21,219.0661723,13,219.0661723,11
219.0775452,25,219.0775452,14,219.0775452,14
219.102361,25,219.102361,22,219.102361,0
219.1025543,25,219.1025543,21,219.1025543,19
219.1390228,30,219.1390228,30,219.1390228,25
219.1390991,30,219.1390991,25,219.1390991,25
219.1391144,30,219.1391144,25,219.1391144,25
219.1475067,2,219.1475067,1,219.1475067,1
219.1753184,75,219.1753184,75,219.1753184,75
219.1753387,75,219.1753387,75,219.1753387,75
219.1754049,75,219.1754049,75,219.1754049,75
219.1754761,75,219.1754761,75,219.1754761,75
219.1754913,75,219.1754913,75,219.1754913,75
219.1755981,75,219.1755981,75,219.1755981,75
219.9940033,14,219.9940033,12,219.9940033,0
220.0768077,9,220.0768077,6,220.0768077,3
220.0769196,9,220.0769196,6,220.0769196,3
220.0978597,15,220.0978597,13,220.0978597,12
220.1104635,25,220.1104635,21,220.1104635,11
220.1427612,27,220.1427612,25,220.1427612,0
220.1468455,24,220.1468455,20,220.1468455,19
220.1469523,24,220.1469523,20,220.1469523,19
220.1705577,3,220.1705577,3,220.1705577,3
220.178894,75,220.178894,75,220.178894,75
220.7209727,0,220.7209727,0,220.7209727,0
221.0455271,8,221.0455271,7,221.0455271,5
221.0720367,15,221.0720367,9,221.0720367,8
221.0821075,48,221.0821075,41,221.0821075,22
221.0821075,48,221.0821075,41,221.0821075,22
221.0821075,48,221.0821075,41,221.0821075,22
221.0821381,48,221.0821381,41,221.0821381,22
221.0821381,48,221.0821381,41,221.0821381,22
221.0821381,48,221.0821381,41,221.0821381,22
221.0930583,21,221.0930583,18,221.0930583,17
