"mz10ppm","matches10ppm"
578,2
579,2
580,2
581,2
582,2
583,2
584,2
585,2
586,4
587,3
588,1
589,4
590,3
591,3
592,1
593,2
594,3
595,3
596,4
597,2
598,2
599,4
600,3
601,3
602,1
603,2
604,2
605,2
606,2
607,3
608,3
609,2
610,3
611,4
612,1
613,2
614,1
615,2
616,2
617,4
618,2
619,2
620,2
621,5
622,3
623,4
624,4
625,2
626,2
627,3
628,3
629,5
630,5
631,2
632,2
633,2
634,2
635,2
636,2
637,2
638,1
639,3
640,2
641,3
642,2
643,2
644,1
645,2
646,1
647,2
648,2
649,4
650,1
651,1
652,2
653,2
654,1
655,2
656,2
657,3
658,2
659,1
660,2
661,2
662,1
663,1
664,1
665,2
666,3
667,2
668,1
669,1
670,2
671,1
672,2
673,2
674,2
675,3
676,2
677,3
678,2
679,1
680,1
681,1
682,3
683,1
684,2
685,3
686,2
687,2
688,2
689,2
690,3
691,2
692,2
693,6
694,4
695,2
696,1
697,1
698,2
699,1
700,1
701,1
702,3
703,2
704,1
705,1
706,2
707,1
708,1
709,1
710,1
711,3
712,1
713,2
714,2
715,4
716,1
717,1
718,2
719,1
720,3
722,2
723,2
724,1
725,2
726,2
727,1
728,2
729,2
731,1
732,2
733,3
734,1
735,3
736,3
737,1
738,1
739,1
740,1
741,2
742,3
743,1
745,1
747,2
748,2
749,3
751,2
752,2
753,5
755,5
756,2
757,1
758,3
759,2
760,1
761,1
763,1
765,1
766,2
767,2
768,1
769,2
770,1
771,2
772,2
773,1
774,3
775,2
776,4
777,2
778,1
779,3
780,2
781,1
782,2
783,3
784,2
785,1
786,2
787,2
788,1
790,1
792,1
793,1
794,3
795,4
796,2
798,3
799,1
800,2
801,4
802,3
803,2
804,2
805,3
806,5
807,4
808,3
809,1
811,2
812,2
813,1
815,1
816,1
817,1
818,1
819,2
820,2
825,1
826,1
827,2
828,2
829,3
830,1
831,1
832,1
833,1
834,1
835,1
837,2
838,1
839,2
840,1
841,1
842,2
843,1
844,1
845,1
847,3
848,2
849,2
850,2
851,2
853,1
854,1
855,1
856,1
857,2
858,1
859,1
860,2
861,3
862,2
863,1
865,2
867,3
868,1
869,2
870,2
871,2
872,1
873,6
874,4
875,1
876,1
878,1
879,1
880,1
881,1
883,1
884,2
885,2
886,1
887,1
888,1
889,1
890,2
891,2
892,3
893,1
894,1
895,2
896,1
897,1
898,1
900,1
901,1
906,3
907,2
908,3
909,1
910,2
911,2
913,2
914,2
915,1
918,1
919,1
920,2
921,2
922,1
925,2
926,1
929,1
935,1
936,1
937,2
938,2
939,2
940,1
942,2
944,1
945,3
947,2
949,2
950,1
951,2
953,1
954,2
955,2
956,1
959,3
961,1
963,1
964,1
966,1
968,1
969,2
970,3
971,3
972,1
974,3
983,1
984,1
985,1
988,3
994,2
995,1
998,1
999,1
1000,1
