mz,minintensity,sampleID,,IsUnique,,mz,,lockmass mz
157.086,136283.8906,32,,FALSE,,,,
201.076,102409.6406,32,,FALSE,,,,
201.112,59934.04297,32,,FALSE,,,,
112.984,194656.4375,33,,FALSE,,,,
129.054,464896.6875,33,,FALSE,,,,
143.07,404971.0313,33,,FALSE,,,,
148.06,193019.9688,33,,FALSE,,,,
157.086,132018.5156,33,,FALSE,,,,
199.06,98174.92969,33,,FALSE,,,,
201.076,125935.4688,33,,FALSE,,,,
201.112,56570.32813,33,,FALSE,,,,
213.076,84425.78125,33,,FALSE,,,,
112.984,278256.3438,34,,FALSE,,,,
129.054,606558.625,34,,FALSE,,,,
143.07,480387.4375,34,,FALSE,,,,
148.06,245447.4688,34,,FALSE,,,,
213.076,114385.1016,34,,FALSE,,,,
100.932,2595.609131,35,,FALSE,,,,
112.984,242020.3594,35,,FALSE,,,,
121.028,187690.2656,35,,FALSE,,,,
129.054,556987.125,35,,FALSE,,,,
143.07,417073.75,35,,FALSE,,,,
148.06,255745,35,,FALSE,,,,
157.086,148732.2188,35,,FALSE,,,,
187.06,191232.7813,35,,FALSE,,,,
201.076,148697.7969,35,,FALSE,,,,
112.984,256141.8906,36,,FALSE,,,,
129.054,500622.625,36,,FALSE,,,,
143.07,428780.2188,36,,FALSE,,,,
148.06,235893.0781,36,,FALSE,,,,
157.086,138665.2656,36,,FALSE,,,,
199.06,98006.53906,36,,FALSE,,,,
201.076,132667.8125,36,,FALSE,,,,
201.112,52791.44141,36,,FALSE,,,,
213.076,92029.49219,36,,FALSE,,,,
100.932,19703.08398,37,,FALSE,,,,
112.984,327774.9688,37,,FALSE,,,,
117.054,251037.2188,37,,FALSE,,,,
129.054,698679.375,37,,FALSE,,,,
131.07,135536,37,,FALSE,,,,
132.922,62823.16406,37,,FALSE,,,,
138.018,72294.21094,37,,FALSE,,,,
143.07,589540.8125,37,,FALSE,,,,
145.086,91949.17969,37,,FALSE,,,,
148.06,374815.7188,37,,FALSE,,,,
157.086,320316.9688,37,,FALSE,,,,
194.066,77811.67188,37,,TRUE,,,,
201.076,128996.6406,37,,FALSE,,,,
100.932,19764.88477,38,,FALSE,,,,
112.984,331968.0625,38,,FALSE,,,,
117.054,204399.9375,38,,FALSE,,,,
129.054,677099.0625,38,,FALSE,,,,
131.07,132236.2188,38,,FALSE,,,,
132.922,50184.33984,38,,FALSE,,,,
143.07,559763,38,,FALSE,,,,
145.086,89865.78906,38,,FALSE,,,,
148.06,370574.0625,38,,FALSE,,,,
